ar_snapshot_id,snapshot_date,customer_id,invoice_id,invoice_amount,paid_amount,outstanding_amount,due_date,overdue_days,aging_bucket,risk_level
1,2026-07-01,13,1,1041046.04,520523.02,520523.02,2025-01-29,518,90天以上,高
2,2026-07-01,43,2,348820.0,0.0,348820.0,2024-12-23,555,90天以上,高
3,2026-07-01,14,3,203761.43,203761.43,0.0,2024-11-24,0,1-30天,低
4,2026-07-01,17,4,211203.91,211203.91,0.0,2024-12-25,0,1-30天,低
5,2026-07-01,69,5,738824.32,738824.32,0.0,2024-12-06,0,1-30天,低
6,2026-07-01,74,6,1465315.6,1465315.6,0.0,2025-02-03,0,1-30天,低
7,2026-07-01,75,7,976148.8,976148.8,0.0,2024-11-16,0,1-30天,低
8,2026-07-01,75,8,1245581.65,1245581.65,0.0,2024-10-28,0,1-30天,低
9,2026-07-01,43,9,1249040.25,1249040.25,0.0,2024-12-26,0,1-30天,低
10,2026-07-01,8,10,166270.06,166270.06,0.0,2024-12-28,0,1-30天,低
11,2026-07-01,80,11,305835.2,305835.2,0.0,2025-02-02,0,1-30天,低
12,2026-07-01,34,12,971913.45,485956.73,485956.72,2025-01-05,542,90天以上,高
13,2026-07-01,47,13,166414.89,166414.89,0.0,2025-01-19,0,1-30天,低
14,2026-07-01,50,14,166974.63,0.0,166974.63,2024-12-20,558,90天以上,高
15,2026-07-01,48,15,407073.13,407073.13,0.0,2025-01-26,0,1-30天,低
16,2026-07-01,72,16,236326.56,236326.56,0.0,2024-12-27,0,1-30天,低
17,2026-07-01,53,17,387048.74,387048.74,0.0,2024-12-01,0,1-30天,低
18,2026-07-01,63,18,235101.16,0.0,235101.16,2024-12-10,568,90天以上,高
19,2026-07-01,29,19,538314.96,538314.96,0.0,2024-12-29,0,1-30天,低
20,2026-07-01,79,20,352364.28,352364.28,0.0,2025-01-28,0,1-30天,低
21,2026-07-01,31,21,327627.78,327627.78,0.0,2025-02-22,0,1-30天,低
22,2026-07-01,23,22,679012.41,679012.41,0.0,2025-01-08,0,1-30天,低
23,2026-07-01,73,23,302129.52,241703.62,60425.9,2025-02-04,512,90天以上,高
24,2026-07-01,39,24,120106.69,60053.35,60053.34,2025-01-14,533,90天以上,高
25,2026-07-01,51,25,231730.88,231730.88,0.0,2025-01-12,0,1-30天,低
26,2026-07-01,80,26,475929.1,475929.1,0.0,2025-03-19,0,1-30天,低
27,2026-07-01,40,27,682444.28,682444.28,0.0,2025-01-15,0,1-30天,低
28,2026-07-01,10,28,259735.23,207788.18,51947.05,2025-01-30,517,90天以上,高
29,2026-07-01,77,29,279532.73,0.0,279532.73,2025-01-06,541,90天以上,高
30,2026-07-01,27,30,518351.88,518351.88,0.0,2024-12-21,0,1-30天,低
31,2026-07-01,69,31,345813.84,345813.84,0.0,2025-01-13,0,1-30天,低
32,2026-07-01,23,32,603184.42,482547.54,120636.88,2025-02-24,492,90天以上,高
33,2026-07-01,2,33,420144.82,420144.82,0.0,2025-01-22,0,1-30天,低
34,2026-07-01,10,34,335847.61,335847.61,0.0,2025-01-06,0,1-30天,低
35,2026-07-01,62,35,1171188.35,1171188.35,0.0,2025-02-03,0,1-30天,低
36,2026-07-01,75,36,513032.68,513032.68,0.0,2024-11-14,0,1-30天,低
37,2026-07-01,78,37,247958.28,247958.28,0.0,2024-12-14,0,1-30天,低
38,2026-07-01,27,38,258701.38,258701.38,0.0,2025-01-14,0,1-30天,低
39,2026-07-01,2,39,250253.1,250253.1,0.0,2025-02-12,0,1-30天,低
40,2026-07-01,80,40,237275.51,189820.41,47455.1,2025-03-18,470,90天以上,高
41,2026-07-01,29,41,180347.2,180347.2,0.0,2025-02-15,0,1-30天,低
42,2026-07-01,78,42,227668.67,227668.67,0.0,2025-02-08,0,1-30天,低
43,2026-07-01,11,43,244788.86,0.0,244788.86,2025-01-17,530,90天以上,高
44,2026-07-01,45,44,730243.04,730243.04,0.0,2025-04-07,0,1-30天,低
45,2026-07-01,27,45,790948.05,790948.05,0.0,2024-12-29,0,1-30天,低
46,2026-07-01,46,46,1107815.05,1107815.05,0.0,2024-12-12,0,1-30天,低
47,2026-07-01,15,47,1508714.9,1508714.9,0.0,2025-04-15,0,1-30天,低
48,2026-07-01,43,48,423210.45,423210.45,0.0,2024-11-30,0,1-30天,低
49,2026-07-01,70,49,538487.76,538487.76,0.0,2025-01-29,0,1-30天,低
50,2026-07-01,77,50,321557.74,321557.74,0.0,2025-01-08,0,1-30天,低
51,2026-07-01,67,51,327573.35,327573.35,0.0,2025-03-17,0,1-30天,低
52,2026-07-01,10,52,234460.23,0.0,234460.23,2025-04-01,456,90天以上,高
53,2026-07-01,68,53,237692.07,237692.07,0.0,2025-04-06,0,1-30天,低
54,2026-07-01,66,54,727134.32,727134.32,0.0,2025-01-15,0,1-30天,低
55,2026-07-01,23,55,1245215.92,1245215.92,0.0,2025-04-02,0,1-30天,低
56,2026-07-01,69,56,774386.6,619509.28,154877.32,2024-12-19,559,90天以上,高
57,2026-07-01,14,57,484604.06,484604.06,0.0,2025-01-20,0,1-30天,低
58,2026-07-01,44,58,199732.09,99866.05,99866.04,2024-12-24,554,90天以上,高
59,2026-07-01,51,59,220519.3,220519.3,0.0,2025-01-31,0,1-30天,低
60,2026-07-01,74,60,331431.48,331431.48,0.0,2025-01-03,0,1-30天,低
61,2026-07-01,37,61,476278.96,476278.96,0.0,2024-12-06,0,1-30天,低
62,2026-07-01,30,62,212114.06,212114.06,0.0,2025-02-01,0,1-30天,低
