bom_id,company_id,product_id,bom_version,effective_from,effective_to,status
1,1,1,V1.0,2024-01-01,,生效
2,1,2,V1.0,2024-01-01,,生效
3,1,3,V1.0,2024-01-01,,生效
4,1,4,V1.0,2024-01-01,,生效
5,1,5,V1.0,2024-01-01,,生效
6,1,6,V1.0,2024-01-01,,生效
7,1,7,V1.0,2024-01-01,,生效
8,1,8,V1.0,2024-01-01,,生效
9,1,9,V1.0,2024-01-01,,生效
10,1,10,V1.0,2024-01-01,,生效
11,1,11,V1.0,2024-01-01,,生效
12,1,12,V1.0,2024-01-01,,生效
13,1,13,V1.0,2024-01-01,,生效
14,1,14,V1.0,2024-01-01,,生效
15,1,15,V1.0,2024-01-01,,生效
16,1,16,V1.0,2024-01-01,,生效
17,1,17,V1.0,2024-01-01,,生效
18,1,18,V1.0,2024-01-01,,生效
19,1,19,V1.0,2024-01-01,,生效
20,1,20,V1.0,2024-01-01,,生效
21,1,21,V1.0,2024-01-01,,生效
22,1,22,V1.0,2024-01-01,,生效
23,1,23,V1.0,2024-01-01,,生效
24,1,24,V1.0,2024-01-01,,生效
25,1,25,V1.0,2024-01-01,,生效
26,1,26,V1.0,2024-01-01,,生效
27,1,27,V1.0,2024-01-01,,生效
28,1,28,V1.0,2024-01-01,,生效
29,1,29,V1.0,2024-01-01,,生效
30,1,30,V1.0,2024-01-01,,生效
31,1,31,V1.0,2024-01-01,,生效
32,1,32,V1.0,2024-01-01,,生效
33,1,33,V1.0,2024-01-01,,生效
34,1,34,V1.0,2024-01-01,,生效
35,1,35,V1.0,2024-01-01,,生效
36,1,36,V1.0,2024-01-01,,生效
37,1,37,V1.0,2024-01-01,,生效
38,1,38,V1.0,2024-01-01,,生效
39,1,39,V1.0,2024-01-01,,生效
40,1,40,V1.0,2024-01-01,,生效
