bom_line_id,bom_id,material_id,quantity_per,scrap_rate,is_critical
1,1,1,600.0,0.0199,1
2,1,12,82.4888,0.0317,1
3,1,26,100.7863,0.0267,1
4,1,34,66.312,0.0361,0
5,1,37,2.315,0.029,0
6,1,39,6.4394,0.0386,1
7,1,46,3.2408,0.0077,0
8,1,54,9.7288,0.0306,0
9,1,58,74.7777,0.0063,1
10,1,70,4.1676,0.0135,1
11,1,78,11.7771,0.0068,0
12,1,79,6.722,0.015,1
13,1,81,7.7068,0.0232,0
14,1,86,11.3663,0.0106,1
15,1,110,3.8769,0.009,0
16,1,116,104.8733,0.038,1
17,2,4,14.0704,0.005,1
18,2,32,8.3165,0.0323,0
19,2,34,75.1799,0.0176,0
20,2,40,1.4527,0.0058,1
21,2,46,7.7104,0.0135,0
22,2,59,143.6074,0.031,1
23,2,60,82.4931,0.012,0
24,2,64,17.5458,0.0051,1
25,2,65,13.4466,0.0329,0
26,2,67,47.3564,0.0117,1
27,2,84,98.578,0.0329,1
28,2,110,15.7119,0.0069,0
29,2,116,45.5974,0.0177,1
30,3,6,2.9086,0.0195,0
31,3,17,12.5547,0.0195,0
32,3,27,40.4947,0.0362,0
33,3,31,7.3555,0.0058,1
34,3,32,16.9931,0.0277,0
35,3,33,4.8884,0.0156,1
36,3,37,10.047,0.0373,0
37,3,52,26.1291,0.0063,0
38,3,58,94.682,0.0133,1
39,3,59,15.5659,0.0304,1
40,3,73,15.8713,0.0199,0
41,3,79,11.0965,0.0211,1
42,3,90,68.6925,0.0197,0
43,3,100,29.7554,0.031,1
44,4,13,9.7681,0.0216,1
45,4,14,2.6563,0.0183,1
46,4,17,1.9595,0.0228,0
47,4,19,136.757,0.0213,0
48,4,42,145.7777,0.0079,1
49,4,46,10.5727,0.0134,0
50,4,49,7.065,0.02,0
51,4,64,10.3935,0.0061,1
52,4,66,37.8842,0.0287,0
53,4,73,4.5938,0.039,0
54,4,80,14.5145,0.0312,0
55,4,92,14.7241,0.0394,0
56,4,93,16.2365,0.0385,0
57,4,95,5.8234,0.0331,0
58,4,99,21.7005,0.0373,0
59,4,118,1.7082,0.0236,1
60,5,8,16.9199,0.0231,0
61,5,17,15.84,0.0052,0
62,5,19,153.3408,0.0231,0
63,5,36,77.9662,0.0273,0
64,5,45,2.7566,0.0347,1
65,5,47,1.4648,0.0273,0
66,5,54,3.1945,0.0312,0
67,5,64,17.1087,0.03,1
68,5,73,1.4868,0.0201,0
69,5,76,110.4361,0.0391,0
70,5,107,102.5379,0.037,1
71,5,108,124.2506,0.0314,0
72,5,111,17.7704,0.0298,1
73,5,114,154.1148,0.0254,1
74,5,119,4.2601,0.026,1
75,6,28,152.9531,0.0308,0
76,6,40,14.2255,0.0201,1
77,6,50,64.7215,0.0071,1
78,6,58,151.4822,0.0111,1
79,6,61,11.2046,0.0337,1
80,6,62,15.1476,0.006,0
81,6,65,12.5947,0.0371,0
82,6,83,127.4035,0.0358,0
83,6,84,25.7867,0.02,1
84,6,91,110.2157,0.0201,0
85,6,92,112.9268,0.0153,0
86,6,108,104.8415,0.0151,0
87,6,110,14.5948,0.04,0
88,6,114,118.9251,0.0362,1
89,6,116,10.5598,0.0063,1
90,7,2,104.5675,0.0144,0
91,7,13,10.2312,0.0362,1
92,7,15,14.28,0.0201,0
93,7,17,6.7664,0.0096,0
94,7,22,17.6943,0.0268,0
95,7,43,132.9359,0.0239,0
96,7,44,34.2564,0.037,0
97,7,57,6.0078,0.0338,0
98,7,65,6.8647,0.0089,0
99,7,71,4.2009,0.0393,0
100,7,74,22.0142,0.0341,1
101,7,75,35.0164,0.0395,0
102,7,93,15.748,0.0218,0
103,7,97,9.5371,0.0096,0
104,7,98,113.8755,0.005,1
105,7,104,6.2908,0.0326,0
106,7,120,6.2728,0.0297,0
107,8,5,12.6166,0.0324,0
108,8,8,16.841,0.0051,0
109,8,10,61.4575,0.0314,0
110,8,14,6.5239,0.0238,1
111,8,17,6.5096,0.021,0
112,8,28,91.0262,0.0086,0
113,8,52,42.1581,0.0353,0
114,8,53,17.1548,0.017,0
115,8,64,6.9202,0.0123,1
116,8,76,121.4791,0.0121,0
117,8,81,17.2526,0.0086,0
118,8,88,1.0793,0.0258,0
119,8,100,105.1166,0.0186,1
120,8,107,124.4281,0.037,1
121,8,114,115.4086,0.0204,1
122,9,3,94.727,0.015,0
123,9,5,9.567,0.0267,0
124,9,12,91.0537,0.0246,1
125,9,17,7.5395,0.0189,0
126,9,19,141.6002,0.0084,0
127,9,31,14.0247,0.0223,1
128,9,43,13.1287,0.0056,0
129,9,49,15.7934,0.0098,0
130,9,56,5.2222,0.0243,0
131,9,63,16.4563,0.0169,0
132,9,69,15.4553,0.0182,0
133,9,77,13.7247,0.0294,1
134,9,80,17.7331,0.0092,0
135,9,92,74.8666,0.034,0
136,9,97,8.7648,0.0298,0
137,9,101,3.4262,0.026,0
138,9,105,11.9539,0.0356,0
139,9,118,4.0752,0.0313,1
140,10,6,5.4815,0.0086,0
141,10,10,103.3487,0.0338,0
142,10,16,13.9487,0.0245,0
143,10,26,154.9935,0.0263,1
144,10,33,13.1605,0.0131,1
145,10,35,59.7999,0.0304,0
146,10,39,10.9266,0.0357,1
147,10,49,10.74,0.0146,0
148,10,61,13.6452,0.0219,1
149,10,78,8.456,0.0122,0
150,10,80,15.0042,0.0167,0
151,10,87,12.425,0.0273,0
152,10,94,11.4405,0.0196,1
153,10,104,12.7822,0.0051,0
154,10,105,11.6006,0.0313,0
155,10,109,5.7507,0.0261,0
156,10,110,8.3219,0.0199,0
157,11,4,138.5217,0.0256,1
158,11,8,9.2232,0.0334,0
159,11,19,25.7804,0.0229,0
160,11,22,11.004,0.0197,0
161,11,26,91.3873,0.0327,1
162,11,48,13.1023,0.0316,0
163,11,54,10.1554,0.0172,0
164,11,56,12.06,0.0125,0
165,11,71,6.1914,0.0366,0
166,11,75,80.7346,0.0076,0
167,11,90,155.1797,0.0139,0
168,11,97,14.4586,0.0377,0
169,11,108,28.7537,0.0062,0
170,11,109,1.2755,0.0213,0
171,11,116,72.1886,0.0322,1
172,12,3,113.8824,0.0349,0
173,12,4,158.612,0.0319,1
174,12,29,17.1546,0.0251,0
175,12,37,6.5706,0.035,0
176,12,46,12.6811,0.0254,0
177,12,52,152.7536,0.0344,0
178,12,53,4.9189,0.0147,0
179,12,58,99.7729,0.0248,1
180,12,67,35.629,0.0379,1
181,12,83,129.705,0.0093,0
182,12,89,6.1473,0.0238,0
183,12,92,45.5103,0.0258,0
184,12,97,12.3309,0.0198,0
185,12,101,17.173,0.0171,0
186,12,115,34.0198,0.0084,0
187,12,116,154.4247,0.026,1
188,13,10,119.8671,0.0349,0
189,13,11,94.7946,0.0257,1
190,13,19,87.301,0.0194,0
191,13,30,8.4419,0.0063,0
192,13,36,23.232,0.0399,0
193,13,55,15.1083,0.031,0
194,13,56,2.6427,0.0395,0
195,13,59,41.2693,0.0301,1
196,13,80,7.3827,0.0373,0
197,13,83,106.8599,0.0113,0
198,13,85,7.0619,0.0347,1
199,13,86,5.9739,0.0198,1
200,13,113,2.5328,0.0097,0
201,13,115,126.4677,0.0338,0
202,14,3,119.2154,0.0198,0
203,14,13,15.7516,0.0139,1
204,14,15,12.0036,0.0225,0
205,14,33,10.8056,0.0112,1
206,14,43,50.9162,0.0079,0
207,14,48,15.3956,0.0179,0
208,14,60,89.1268,0.0222,0
209,14,62,10.8313,0.0111,0
210,14,63,9.2664,0.023,0
211,14,64,17.9447,0.0349,1
212,14,73,16.8311,0.0179,0
213,14,83,13.6472,0.0088,0
214,14,92,141.6912,0.022,0
215,14,108,122.9046,0.0215,0
216,14,118,4.8614,0.0387,1
217,14,120,12.0741,0.033,0
218,15,6,2.7465,0.0191,0
219,15,18,127.3251,0.0394,1
220,15,26,135.4054,0.03,1
221,15,27,74.0416,0.0376,0
222,15,45,15.4368,0.0349,1
223,15,53,8.2451,0.0239,0
224,15,55,1.7235,0.0131,0
225,15,73,16.8958,0.0387,0
226,15,76,102.3318,0.031,0
227,15,82,44.0594,0.0264,0
228,15,83,80.4044,0.0247,0
229,15,91,68.9662,0.0342,0
230,15,92,51.4596,0.0224,0
231,15,94,12.2161,0.0342,1
232,15,95,1.9185,0.0385,0
233,15,98,104.4048,0.0084,1
234,15,99,37.5525,0.0088,0
235,15,111,17.5724,0.0104,1
236,16,3,100.2448,0.0181,0
237,16,6,8.3208,0.0194,0
238,16,11,125.701,0.0196,1
239,16,12,127.3634,0.0377,1
240,16,26,44.9298,0.0238,1
241,16,29,9.1489,0.0138,0
242,16,40,3.8982,0.006,1
243,16,43,66.0294,0.0155,0
244,16,44,118.518,0.0131,0
245,16,46,9.3415,0.0168,0
246,16,50,73.4817,0.0341,1
247,16,54,4.7478,0.0149,0
248,16,55,2.8372,0.0177,0
249,16,62,7.6783,0.0354,0
250,16,68,100.5242,0.0079,0
251,16,76,42.0617,0.0096,0
252,16,77,2.0339,0.0358,1
253,16,79,5.8281,0.0211,1
254,16,98,79.2122,0.0253,1
255,16,110,3.3105,0.012,0
256,17,6,3.9003,0.0168,0
257,17,7,9.1611,0.0299,0
258,17,21,15.3827,0.0152,1
