inventory_balance_id,company_id,plant_id,warehouse_id,material_id,on_hand_qty,allocated_qty,available_qty,safety_stock_qty,snapshot_date
1,1,1,1,1,90.0,60.0,30.0,280.0,2026-08-05
2,1,1,1,2,165.5032,39.7308,125.7724,315.3956,2026-08-05
3,1,1,1,3,69.5699,12.7552,56.8147,53.5341,2026-08-05
4,1,1,1,4,99.7719,7.5607,92.2112,48.5642,2026-08-05
5,1,1,1,5,111,44,67,34,2026-08-05
6,1,1,1,6,122,58,64,38,2026-08-05
7,1,1,1,7,179,83,96,77,2026-08-05
8,1,1,1,8,29,8,21,16,2026-08-05
9,1,1,1,9,137,62,75,80,2026-08-05
10,1,1,1,10,255.9081,32.8755,223.0326,306.3356,2026-08-05
11,1,1,1,11,809.2306,426.3645,382.8661,398.5982,2026-08-05
12,1,1,1,12,467.8999,157.0205,310.8794,254.9155,2026-08-05
13,1,1,1,13,61,22,39,76,2026-08-05
14,1,1,1,14,34,6,28,27,2026-08-05
15,1,1,1,15,91,37,54,39,2026-08-05
16,1,1,1,16,20,7,13,23,2026-08-05
17,1,1,1,17,47,16,31,17,2026-08-05
18,1,1,1,18,450.1,207.8252,242.2748,394.9246,2026-08-05
19,1,1,1,19,486.3473,67.4965,418.8508,173.3451,2026-08-05
20,1,1,1,20,392.3414,176.1066,216.2348,327.3669,2026-08-05
21,1,1,1,21,54,6,48,16,2026-08-05
22,1,1,1,22,58,22,36,18,2026-08-05
23,1,1,1,23,124,25,99,38,2026-08-05
24,1,1,1,24,238,47,191,71,2026-08-05
25,1,1,1,25,101,26,75,41,2026-08-05
26,1,1,1,26,41.3365,15.0951,26.2414,30.7009,2026-08-05
27,1,1,1,27,256.9826,116.5132,140.4694,111.0761,2026-08-05
28,1,1,1,28,290.4724,128.7913,161.6811,215.1755,2026-08-05
29,1,1,1,29,185,68,117,61,2026-08-05
30,1,1,1,30,78,12,66,49,2026-08-05
31,1,1,1,31,38,11,27,71,2026-08-05
32,1,1,1,32,169,36,133,72,2026-08-05
33,1,1,1,33,134,45,89,63,2026-08-05
34,1,1,1,34,625.0137,313.3971,311.6166,226.8909,2026-08-05
35,1,1,1,35,91.1694,7.8788,83.2906,55.7924,2026-08-05
36,1,1,1,36,522.709,153.8087,368.9003,233.0477,2026-08-05
37,1,1,1,37,190,77,113,77,2026-08-05
38,1,1,1,38,39,11,28,22,2026-08-05
39,1,1,1,39,54,6,48,65,2026-08-05
40,1,1,1,40,77,4,73,54,2026-08-05
41,1,1,1,41,19,1,18,14,2026-08-05
42,1,1,1,42,678.6823,357.4239,321.2584,382.7299,2026-08-05
