invoice_id,invoice_code,customer_id,sales_order_id,shipment_id,invoice_date,due_date,invoice_amount,status
1,发票-000001,13,1,1,2024-10-31,2025-01-29,1041046.04,已开票
2,发票-000002,43,2,2,2024-11-23,2024-12-23,348820.0,已开票
3,发票-000003,14,3,3,2024-10-25,2024-11-24,203761.43,已开票
4,发票-000004,17,4,4,2024-11-10,2024-12-25,211203.91,已开票
5,发票-000005,69,5,5,2024-10-22,2024-12-06,738824.32,已开票
6,发票-000006,74,7,7,2024-12-05,2025-02-03,1465315.6,已开票
7,发票-000007,75,9,9,2024-10-02,2024-11-16,976148.8,已开票
8,发票-000008,75,10,10,2024-09-13,2024-10-28,1245581.65,已开票
9,发票-000009,43,11,11,2024-11-26,2024-12-26,1249040.25,已开票
10,发票-000010,8,12,12,2024-10-29,2024-12-28,166270.06,已开票
11,发票-000011,80,14,14,2024-11-04,2025-02-02,305835.2,已开票
12,发票-000012,34,15,15,2024-12-06,2025-01-05,971913.45,已开票
13,发票-000013,47,16,16,2024-11-20,2025-01-19,166414.89,已开票
14,发票-000014,50,17,17,2024-10-21,2024-12-20,166974.63,已开票
15,发票-000015,48,18,18,2024-10-28,2025-01-26,407073.13,已开票
16,发票-000016,72,19,19,2024-11-27,2024-12-27,236326.56,已开票
17,发票-000017,53,20,20,2024-10-02,2024-12-01,387048.74,已开票
18,发票-000018,63,22,22,2024-10-11,2024-12-10,235101.16,已开票
19,发票-000019,29,23,23,2024-11-14,2024-12-29,538314.96,已开票
20,发票-000020,79,24,24,2024-10-30,2025-01-28,352364.28,已开票
21,发票-000021,31,26,26,2024-11-24,2025-02-22,327627.78,已开票
22,发票-000022,23,27,27,2024-10-10,2025-01-08,679012.41,已开票
23,发票-000023,73,29,29,2024-12-21,2025-02-04,302129.52,已开票
24,发票-000024,39,30,30,2024-11-30,2025-01-14,120106.69,已开票
25,发票-000025,51,31,31,2024-11-28,2025-01-12,231730.88,已开票
26,发票-000026,80,32,32,2024-12-19,2025-03-19,475929.1,已开票
27,发票-000027,40,33,33,2024-12-01,2025-01-15,682444.28,已开票
28,发票-000028,10,34,34,2024-11-01,2025-01-30,259735.23,已开票
29,发票-000029,77,36,36,2024-11-22,2025-01-06,279532.73,已开票
30,发票-000030,27,37,37,2024-11-06,2024-12-21,518351.88,已开票
31,发票-000031,69,38,38,2024-11-29,2025-01-13,345813.84,已开票
32,发票-000032,23,40,40,2024-11-26,2025-02-24,603184.42,已开票
33,发票-000033,2,41,41,2024-12-08,2025-01-22,420144.82,已开票
34,发票-000034,10,42,42,2024-10-08,2025-01-06,335847.61,已开票
35,发票-000035,62,43,43,2024-12-20,2025-02-03,1171188.35,已开票
36,发票-000036,75,44,44,2024-09-30,2024-11-14,513032.68,已开票
37,发票-000037,78,45,45,2024-10-30,2024-12-14,247958.28,已开票
38,发票-000038,27,46,46,2024-11-30,2025-01-14,258701.38,已开票
39,发票-000039,2,47,47,2024-12-29,2025-02-12,250253.1,已开票
40,发票-000040,80,48,48,2024-12-18,2025-03-18,237275.51,已开票
41,发票-000041,29,49,49,2025-01-01,2025-02-15,180347.2,已开票
42,发票-000042,78,50,50,2024-12-25,2025-02-08,227668.67,已开票
43,发票-000043,11,51,51,2024-12-18,2025-01-17,244788.86,已开票
44,发票-000044,45,52,52,2025-01-07,2025-04-07,730243.04,已开票
45,发票-000045,27,53,53,2024-11-14,2024-12-29,790948.05,已开票
46,发票-000046,46,54,54,2024-10-28,2024-12-12,1107815.05,已开票
47,发票-000047,15,55,55,2025-01-15,2025-04-15,1508714.9,已开票
48,发票-000048,43,56,56,2024-10-31,2024-11-30,423210.45,已开票
49,发票-000049,70,57,57,2024-11-30,2025-01-29,538487.76,已开票
50,发票-000050,77,58,58,2024-11-24,2025-01-08,321557.74,已开票
51,发票-000051,67,59,59,2024-12-17,2025-03-17,327573.35,已开票
52,发票-000052,10,60,60,2025-01-01,2025-04-01,234460.23,已开票
53,发票-000053,68,61,61,2025-01-06,2025-04-06,237692.07,已开票
54,发票-000054,66,62,62,2024-12-01,2025-01-15,727134.32,已开票
55,发票-000055,23,63,63,2025-01-02,2025-04-02,1245215.92,已开票
56,发票-000056,69,64,64,2024-11-04,2024-12-19,774386.6,已开票
57,发票-000057,14,66,66,2024-12-21,2025-01-20,484604.06,已开票
58,发票-000058,44,67,67,2024-11-24,2024-12-24,199732.09,已开票
59,发票-000059,51,68,68,2024-12-17,2025-01-31,220519.3,已开票
60,发票-000060,74,69,69,2024-11-04,2025-01-03,331431.48,已开票
61,发票-000061,37,70,70,2024-11-06,2024-12-06,476278.96,已开票
62,发票-000062,30,71,71,2024-11-03,2025-02-01,212114.06,已开票
63,发票-000063,2,72,72,2025-01-14,2025-02-28,937148.84,已开票
64,发票-000064,9,73,73,2024-11-20,2025-01-04,1089055.85,已开票
65,发票-000065,40,74,74,2024-12-21,2025-02-04,1189924.4,已开票
66,发票-000066,2,75,75,2024-12-02,2025-01-16,743935.4,已开票
67,发票-000067,79,76,76,2024-11-18,2025-02-16,201047.26,已开票
68,发票-000068,4,77,77,2024-11-16,2024-12-31,249022.55,已开票
69,发票-000069,62,78,78,2024-12-21,2025-02-04,242031.73,已开票
70,发票-000070,34,79,79,2024-12-07,2025-01-06,286523.48,已开票
71,发票-000071,44,80,80,2024-11-22,2024-12-22,438033.52,已开票
72,发票-000072,69,81,81,2024-10-22,2024-12-06,252210.82,已开票
73,发票-000073,80,82,82,2024-12-23,2025-03-23,349246.96,已开票
74,发票-000074,58,83,83,2024-11-28,2025-01-27,179349.85,已开票
75,发票-000075,40,84,84,2024-12-22,2025-02-05,1246923.5,已开票
76,发票-000076,6,85,85,2024-11-01,2024-12-31,203372.08,已开票
77,发票-000077,47,86,86,2024-12-30,2025-02-28,421747.96,已开票
78,发票-000078,53,87,87,2024-12-13,2025-02-11,348932.46,已开票
79,发票-000079,66,88,88,2024-12-27,2025-02-10,721043.04,已开票
80,发票-000080,57,89,89,2024-11-28,2025-01-27,1276059.0,已开票
81,发票-000081,77,90,90,2024-12-26,2025-02-09,257777.15,已开票
82,发票-000082,67,91,91,2024-10-27,2025-01-25,724737.72,已开票
83,发票-000083,28,92,92,2025-01-16,2025-02-15,245399.98,已开票
84,发票-000084,27,93,93,2024-11-02,2024-12-17,796993.44,已开票
85,发票-000085,65,94,94,2024-11-30,2025-01-14,377344.48,已开票
86,发票-000086,46,95,95,2025-01-24,2025-03-10,619146.51,已开票
87,发票-000087,71,96,96,2024-11-01,2025-01-30,445643.91,已开票
88,发票-000088,34,97,97,2025-01-05,2025-02-04,565805.58,已开票
89,发票-000089,62,98,98,2024-12-19,2025-02-02,1072942.7,已开票
90,发票-000090,66,99,99,2024-12-19,2025-02-02,302711.57,已开票
91,发票-000091,15,100,100,2024-12-18,2025-03-18,301631.66,已开票
92,发票-000092,65,101,101,2024-11-21,2025-01-05,186274.97,已开票
93,发票-000093,48,102,102,2025-01-06,2025-04-06,482723.73,已开票
94,发票-000094,27,103,103,2024-11-21,2025-01-05,332561.96,已开票
95,发票-000095,36,104,104,2024-11-26,2025-01-25,356213.6,已开票
96,发票-000096,45,105,105,2024-11-12,2025-02-10,160874.99,已开票
97,发票-000097,33,107,107,2024-11-11,2025-01-10,228274.2,已开票
98,发票-000098,31,108,108,2024-11-15,2025-02-13,776205.24,已开票
99,发票-000099,43,109,109,2024-11-18,2024-12-18,640234.14,已开票
100,发票-000100,80,110,110,2025-01-19,2025-04-19,187630.8,已开票
101,发票-000101,24,112,112,2024-12-22,2025-01-21,232519.89,已开票
102,发票-000102,1,113,113,2024-11-18,2025-01-02,712088.8,已开票
103,发票-000103,61,114,114,2024-11-21,2025-01-20,398204.5,已开票
