price_history_id,material_id,month,average_purchase_price,market_reference_price,month_over_month_rate
1,1,2024-08-01,89.63,87.07,0.0197
2,1,2024-09-01,91.22,92.95,0.0177
3,1,2024-10-01,89.51,88.6,-0.0187
4,1,2024-11-01,92.34,93.23,0.0316
5,1,2024-12-01,92.11,93.75,-0.0025
6,1,2025-01-01,94.2,96.72,0.0227
7,1,2025-02-01,94.67,96.94,0.005
8,1,2025-03-01,94.87,97.7,0.0021
9,1,2025-04-01,96.06,96.44,0.0126
10,1,2025-05-01,96.94,96.79,0.0091
11,1,2025-06-01,100.03,102.71,0.0319
12,1,2025-07-01,97.93,95.87,-0.0211
13,1,2025-08-01,98.36,99.17,0.0044
14,1,2025-09-01,100.69,97.84,0.0236
15,1,2025-10-01,101.87,104.45,0.0118
16,1,2025-11-01,104.37,106.81,0.0245
17,1,2025-12-01,104.63,102.68,0.0025
18,1,2026-01-01,107.38,108.08,0.0262
19,1,2026-02-01,109.5,107.11,0.0197
20,1,2026-03-01,109.02,109.15,-0.0044
21,1,2026-04-01,112.36,110.36,0.0306
22,1,2026-05-01,117.35,117.67,0.0444
23,1,2026-06-01,123.48,124.14,0.0523
24,1,2026-07-01,129.38,127.08,0.0478
25,1,2026-08-01,133.13,135.75,0.029
26,2,2024-08-01,81.32,79.67,-0.0249
27,2,2024-09-01,82.52,81.51,0.0147
28,2,2024-10-01,84.59,85.71,0.025
29,2,2024-11-01,84.69,86.79,0.0013
30,2,2024-12-01,84.28,83.16,-0.0049
31,2,2025-01-01,82.33,79.93,-0.0231
32,2,2025-02-01,84.38,82.58,0.0249
33,2,2025-03-01,83.97,82.17,-0.0049
34,2,2025-04-01,82.05,82.23,-0.0228
35,2,2025-05-01,83.41,82.08,0.0165
36,2,2025-06-01,82.15,84.52,-0.0151
37,2,2025-07-01,82.78,82.03,0.0077
38,2,2025-08-01,85.08,84.57,0.0277
39,2,2025-09-01,87.6,87.11,0.0297
40,2,2025-10-01,86.94,88.57,-0.0075
41,2,2025-11-01,84.87,87.18,-0.0239
42,2,2025-12-01,85.62,84.28,0.0088
43,2,2026-01-01,87.29,89.29,0.0195
44,2,2026-02-01,88.54,89.15,0.0144
45,2,2026-03-01,86.72,84.3,-0.0206
46,2,2026-04-01,84.72,87.12,-0.0231
47,2,2026-05-01,85.92,86.75,0.0142
48,2,2026-06-01,86.28,85.13,0.0042
49,2,2026-07-01,85.81,87.09,-0.0054
50,2,2026-08-01,85.59,83.72,-0.0025
51,3,2024-08-01,11.73,11.88,-0.0141
52,3,2024-09-01,11.8,11.8,0.0063
53,3,2024-10-01,11.81,11.52,0.0008
54,3,2024-11-01,11.6,11.4,-0.0184
55,3,2024-12-01,11.98,12.03,0.0331
56,3,2025-01-01,11.75,11.72,-0.0191
57,3,2025-02-01,11.98,11.64,0.0192
58,3,2025-03-01,12.33,12.29,0.0292
59,3,2025-04-01,12.59,12.79,0.0212
60,3,2025-05-01,12.51,12.18,-0.0058
61,3,2025-06-01,12.72,13.07,0.0161
62,3,2025-07-01,13.11,13.23,0.0309
63,3,2025-08-01,13.15,13.46,0.0033
64,3,2025-09-01,13.43,13.81,0.0209
65,3,2025-10-01,13.75,13.65,0.0238
66,3,2025-11-01,13.6,13.97,-0.0109
67,3,2025-12-01,13.49,13.71,-0.0077
68,3,2026-01-01,13.61,13.93,0.0085
69,3,2026-02-01,14.06,14.39,0.0333
70,3,2026-03-01,14.13,14.2,0.0049
71,3,2026-04-01,13.98,14.3,-0.0107
72,3,2026-05-01,13.91,13.91,-0.0046
73,3,2026-06-01,13.77,13.4,-0.0101
74,3,2026-07-01,13.82,13.56,0.0034
75,3,2026-08-01,13.49,13.57,-0.0241
76,4,2024-08-01,26.61,26.55,0.0298
77,4,2024-09-01,27.02,26.98,0.0155
78,4,2024-10-01,27.37,27.54,0.0127
79,4,2024-11-01,27.53,27.25,0.0059
80,4,2024-12-01,28.39,29.13,0.0311
81,4,2025-01-01,27.77,27.64,-0.0219
82,4,2025-02-01,28.17,28.89,0.0146
83,4,2025-03-01,27.82,27.58,-0.0123
84,4,2025-04-01,27.55,27.15,-0.0098
85,4,2025-05-01,27.58,27.13,0.0011
86,4,2025-06-01,27.68,27.32,0.0033
87,4,2025-07-01,28.05,28.09,0.0137
88,4,2025-08-01,28.81,28.05,0.0271
89,4,2025-09-01,29.66,29.66,0.0294
90,4,2025-10-01,30.07,30.43,0.0139
91,4,2025-11-01,29.97,30.53,-0.0033
92,4,2025-12-01,30.09,30.21,0.004
93,4,2026-01-01,30.87,30.63,0.0259
94,4,2026-02-01,31.12,30.35,0.0081
95,4,2026-03-01,31.78,31.9,0.021
96,4,2026-04-01,32.38,31.55,0.0188
97,4,2026-05-01,32.62,32.15,0.0074
98,4,2026-06-01,33.61,34.35,0.0304
99,4,2026-07-01,33.19,32.41,-0.0124
100,4,2026-08-01,33.66,32.73,0.0141
101,5,2024-08-01,583.08,571.31,0.0084
102,5,2024-09-01,589.46,575.52,0.0109
