order_cost_detail_id,order_cost_snapshot_id,cost_component,amount,calculation_basis
1,1,材料,568069.52,BOM与当前价格
2,1,人工,30144.96,标准费率
3,1,外协,112633.56,标准费率
4,1,制造费用,105276.6,标准费率
5,1,包装物流,17017.56,标准费率
6,2,材料,166536.86,BOM与当前价格
7,2,人工,47697.86,标准费率
8,2,外协,12861.5,标准费率
9,2,制造费用,47485.82,标准费率
10,2,包装物流,4484.96,标准费率
11,3,材料,83268.43,BOM与当前价格
12,3,人工,23848.93,标准费率
13,3,外协,6430.75,标准费率
14,3,制造费用,23742.91,标准费率
15,3,包装物流,2242.48,标准费率
16,4,材料,104654.27,BOM与当前价格
17,4,人工,11633.15,标准费率
18,4,外协,23443.71,标准费率
19,4,制造费用,25850.26,标准费率
20,4,包装物流,3202.45,标准费率
21,5,材料,366899.84,BOM与当前价格
22,5,人工,64840.76,标准费率
23,5,外协,15466.6,标准费率
24,5,制造费用,80676.16,标准费率
25,5,包装物流,9559.16,标准费率
26,6,材料,72000.52,BOM与当前价格
27,6,人工,64928.42,标准费率
28,6,外协,11413.56,标准费率
29,6,制造费用,29386.64,标准费率
30,6,包装物流,2085.36,标准费率
31,7,材料,710086.9,BOM与当前价格
32,7,人工,37681.2,标准费率
33,7,外协,140791.95,标准费率
34,7,制造费用,131595.75,标准费率
35,7,包装物流,21271.95,标准费率
36,8,材料,142017.38,BOM与当前价格
37,8,人工,7536.24,标准费率
38,8,外协,28158.39,标准费率
39,8,制造费用,26319.15,标准费率
40,8,包装物流,4254.39,标准费率
41,9,材料,413979.56,BOM与当前价格
42,9,人工,117781.92,标准费率
43,9,外协,92864.12,标准费率
44,9,制造费用,123800.8,标准费率
45,9,包装物流,12671.08,标准费率
46,10,材料,554829.65,BOM与当前价格
47,10,人工,121492.6,标准费率
48,10,外协,89491.95,标准费率
49,10,制造费用,145121.8,标准费率
50,10,包装物流,16108.05,标准费率
51,11,材料,518897.01,BOM与当前价格
52,11,人工,110019.39,标准费率
