order_cost_snapshot_id,sales_order_id,snapshot_date,material_cost,labor_cost,outsource_cost,overhead_cost,logistics_cost,total_cost,sales_revenue,gross_profit,gross_margin_rate,cost_type
1,1,2024-10-25,568069.52,30144.96,112633.56,105276.6,17017.56,833142.24,1041046.03,207903.79,0.1997,实际
2,2,2024-11-04,166536.86,47697.86,12861.5,47485.82,4484.96,279067.0,348820.0,69753.0,0.2,实际
3,3,2024-10-23,83268.43,23848.93,6430.75,23742.91,2242.48,139533.5,203761.43,64227.93,0.3152,实际
4,4,2024-11-04,104654.27,11633.15,23443.71,25850.26,3202.45,168783.84,211203.91,42420.07,0.2008,实际
5,5,2024-10-07,366899.84,64840.76,15466.6,80676.16,9559.16,537442.52,738824.33,201381.81,0.2726,实际
6,6,2024-10-25,72000.52,64928.42,11413.56,29386.64,2085.36,179814.5,232866.08,53051.58,0.2278,实际
7,7,2024-11-24,710086.9,37681.2,140791.95,131595.75,21271.95,1041427.8,1465315.62,423887.82,0.2893,实际
8,8,2024-11-18,142017.38,7536.24,28158.39,26319.15,4254.39,208285.56,295743.01,87457.45,0.2957,实际
9,9,2024-09-09,413979.56,117781.92,92864.12,123800.8,12671.08,761097.52,976148.78,215051.26,0.2203,实际
10,10,2024-09-09,554829.65,121492.6,89491.95,145121.8,16108.05,927044.05,1245581.66,318537.61,0.2557,实际
11,11,2024-10-31,518897.01,110019.39,88310.34,96467.01,15180.18,828873.93,1249040.25,420166.32,0.3364,实际
12,12,2024-10-26,64798.13,37874.27,10429.35,18774.89,1880.69,133757.33,166270.06,32512.73,0.1955,实际
13,13,2024-10-17,107515.56,12985.27,18616.95,20158.17,3153.31,162429.25,208252.43,45823.18,0.22,实际
14,14,2024-10-24,94829.34,71977.6,20311.02,37199.04,2878.5,227195.52,305835.21,78639.69,0.2571,实际
15,15,2024-11-23,399266.1,60674.85,138907.45,100307.1,13454.35,712609.8,971913.44,259303.64,0.2668,实际
16,16,2024-10-27,60104.08,23126.86,7258.5,18170.28,1684.06,110343.78,166414.89,56071.11,0.3369,实际
17,17,2024-09-21,60104.08,23126.86,7258.5,18170.28,1684.06,110343.78,166974.63,56630.85,0.3392,实际
18,18,2024-10-17,199415.52,20034.91,28343.91,39448.86,5693.99,292937.19,407073.13,114135.94,0.2804,实际
19,19,2024-11-16,104654.27,11633.15,23443.71,25850.26,3202.45,168783.84,236326.56,67542.72,0.2858,实际
20,20,2024-09-14,129596.26,75748.54,20858.7,37549.78,3761.38,267514.66,387048.73,119534.07,0.3088,实际
21,21,2024-09-25,100355.77,31441.97,31314.57,27027.71,3291.76,193431.78,265061.87,71630.09,0.2702,实际
22,22,2024-10-12,110965.93,24298.52,17898.39,29024.36,3221.61,185408.81,235101.16,49692.35,0.2114,实际
23,23,2024-10-24,208444.3,38274.0,62033.74,56347.24,6761.96,371861.24,538314.97,166453.73,0.3092,实际
24,24,2024-10-21,129596.26,75748.54,20858.7,37549.78,3761.38,267514.66,352364.28,84849.62,0.2408,实际
25,25,2024-12-04,638860.04,62510.56,69460.76,145070.44,17708.0,933609.8,1159064.86,225455.06,0.1945,实际
26,26,2024-11-14,161233.68,50566.1,6535.92,26505.96,4194.24,249035.9,327627.78,78591.88,0.2399,实际
27,27,2024-09-26,313962.81,34899.45,70331.13,77550.78,9607.35,506351.52,679012.4,172660.88,0.2543,实际
28,28,2024-10-17,406143.45,111787.53,71224.5,101216.91,11934.21,702306.6,956223.76,253917.16,0.2655,实际
29,29,2024-11-29,94829.34,71977.6,20311.02,37199.04,2878.5,227195.52,302129.53,74934.01,0.248,实际
30,30,2024-11-18,36000.26,32464.21,5706.78,14693.32,1042.68,89907.25,120106.69,30199.44,0.2514,实际
31,31,2024-11-08,71340.64,36366.85,29778.64,25269.95,2527.98,165284.07,231730.88,66446.81,0.2867,实际
32,32,2024-11-29,200711.54,62883.94,62629.14,54055.42,6583.52,386863.56,475929.1,89065.54,0.1871,实际
33,33,2024-11-19,270762.3,74525.02,47483.0,67477.94,7956.14,468204.4,682444.28,214239.88,0.3139,实际
