payment_allocation_id,payment_id,invoice_id,allocated_amount
1,1,1,520523.02
2,2,3,203761.43
3,3,4,211203.91
4,4,5,738824.32
5,5,6,1465315.6
6,6,7,976148.8
7,7,8,1245581.65
8,8,9,1249040.25
9,9,10,166270.06
10,10,11,305835.2
11,11,12,485956.73
12,12,13,166414.89
13,13,15,407073.13
14,14,16,236326.56
15,15,17,387048.74
16,16,19,538314.96
17,17,20,352364.28
18,18,21,327627.78
19,19,22,679012.41
20,20,23,241703.62
21,21,24,60053.35
22,22,25,231730.88
23,23,26,475929.1
24,24,27,682444.28
25,25,28,207788.18
26,26,30,518351.88
27,27,31,345813.84
28,28,32,482547.54
29,29,33,420144.82
30,30,34,335847.61
31,31,35,1171188.35
32,32,36,513032.68
33,33,37,247958.28
34,34,38,258701.38
35,35,39,250253.1
36,36,40,189820.41
37,37,41,180347.2
38,38,42,227668.67
39,39,44,730243.04
40,40,45,790948.05
41,41,46,1107815.05
42,42,47,1508714.9
43,43,48,423210.45
44,44,49,538487.76
45,45,50,321557.74
46,46,51,327573.35
47,47,53,237692.07
48,48,54,727134.32
49,49,55,1245215.92
50,50,56,619509.28
51,51,57,484604.06
52,52,58,99866.05
53,53,59,220519.3
54,54,60,331431.48
55,55,61,476278.96
56,56,62,212114.06
57,57,63,937148.84
58,58,64,1089055.85
59,59,65,1189924.4
60,60,66,743935.4
61,61,67,201047.26
62,62,68,249022.55
63,63,69,193625.38
64,64,70,229218.78
65,65,71,438033.52
66,66,72,252210.82
67,67,74,179349.85
68,68,76,203372.08
69,69,78,348932.46
70,70,79,721043.04
71,71,80,1276059.0
72,72,81,257777.15
73,73,82,724737.72
74,74,83,245399.98
75,75,84,796993.44
76,76,85,377344.48
77,77,86,619146.51
78,78,87,445643.91
79,79,88,565805.58
80,80,89,1072942.7
81,81,90,302711.57
82,82,91,241305.33
83,83,92,186274.97
84,84,93,482723.73
85,85,94,332561.96
86,86,95,356213.6
87,87,96,160874.99
88,88,97,228274.2
89,89,98,776205.24
90,90,101,232519.89
91,91,102,712088.8
92,92,103,398204.5
93,93,104,499817.46
94,94,105,487472.88
95,95,106,232243.96
96,96,107,551144.3
97,97,108,233829.87
98,98,109,898271.15
99,99,111,403299.36
100,100,112,1431013.8
101,101,113,327155.96
102,102,114,373104.68
103,103,115,421654.72
104,104,116,67759.84
105,105,117,790021.4
106,106,120,198993.7
107,107,121,168572.71
108,108,122,210714.12
109,109,123,331427.86
110,110,124,533485.86
111,111,125,882161.32
112,112,126,375502.73
113,113,127,100746.78
114,114,128,839223.0
115,115,129,1202713.32
116,116,130,516234.1
117,117,131,238965.38
118,118,132,1162704.96
119,119,133,194492.05
120,120,134,896563.12
121,121,135,334178.74
122,122,136,427369.28
123,123,137,649151.01
124,124,138,635425.44
125,125,139,157491.52
126,126,140,265786.5
127,127,141,1187179.02
128,128,142,291844.12
129,129,143,569321.61
130,130,144,236104.91
131,131,145,422529.0
132,132,146,199162.88
133,133,147,624120.27
134,134,149,362540.24
135,135,150,186626.39
136,136,151,1029953.12
137,137,152,1232497.5
138,138,154,903248.1
139,139,155,172361.04
140,140,156,128966.0
141,141,157,664993.48
142,142,158,143997.72
143,143,159,167781.98
144,144,160,569952.72
145,145,161,331706.28
146,146,162,455637.07
147,147,163,698069.49
148,148,164,186633.04
149,149,166,194025.64
150,150,167,306262.75
151,151,168,539739.84
152,152,169,934229.58
153,153,170,1058377.68
154,154,171,940133.16
155,155,172,363102.34
156,156,173,355512.35
157,157,175,647061.44
158,158,177,230770.16
159,159,178,499710.2
160,160,179,698791.87
161,161,180,735063.2
162,162,182,996396.35
163,163,183,362085.13
164,164,184,512816.25
165,165,185,118479.1
166,166,186,729706.35
167,167,187,1002352.35
168,168,188,239851.63
169,169,189,161190.1
170,170,190,653139.64
171,171,191,348202.68
172,172,192,212551.66
173,173,193,534643.1
174,174,194,622919.46
175,175,195,1354274.68
176,176,197,676188.42
177,177,198,1551655.95
178,178,199,646255.29
179,179,200,896041.3
180,180,201,760499.97
181,181,202,517765.28
182,182,203,265077.22
183,183,204,595950.96
184,184,205,290520.24
185,185,207,282328.18
186,186,208,175951.72
187,187,210,303382.19
188,188,211,551115.58
189,189,212,207733.88
190,190,213,638436.56
191,191,214,898724.99
192,192,215,539758.32
193,193,217,244704.3
194,194,218,208070.01
195,195,219,232925.29
196,196,220,501226.76
197,197,222,1438276.4
198,198,223,734899.14
199,199,225,961998.56
200,200,226,118129.37
201,201,227,265999.05
202,202,228,1294919.95
203,203,229,926982.96
204,204,230,89990.47
205,205,231,771241.83
206,206,233,498444.42
207,207,234,1005340.68
208,208,235,209241.48
209,209,236,396547.36
210,210,238,341594.1
211,211,239,762458.2
212,212,240,796515.24
213,213,241,503572.48
214,214,242,575445.7
215,215,243,395668.9
216,216,244,216018.7
217,217,245,111313.31
218,218,246,188963.8
219,219,247,930263.22
220,220,249,276523.73
221,221,250,305797.52
222,222,251,770499.69
223,223,252,508914.84
224,224,253,514104.23
225,225,254,760000.54
226,226,255,506227.83
227,227,256,938062.28
228,228,257,82759.66
229,229,258,1521860.45
230,230,260,1434908.45
231,231,261,159069.88
232,232,262,1006738.34
233,233,263,248974.31
234,234,264,211070.75
235,235,265,385792.88
236,236,266,176716.59
237,237,267,565454.92
238,238,268,126936.02
239,239,269,382410.36
240,240,270,276747.02
241,241,271,1086881.45
242,242,272,134753.88
243,243,273,343475.53
244,244,274,706327.48
245,245,275,589251.44
246,246,276,456406.08
247,247,277,160457.88
248,248,278,387304.38
249,249,279,1459570.52
250,250,280,980730.68
251,251,281,211590.32
252,252,282,400056.54
253,253,283,156245.71
254,254,284,514579.34
255,255,285,248252.6
256,256,286,164436.61
257,257,287,263043.72
258,258,288,910465.85
259,259,289,100913.83
260,260,290,715865.28
261,261,291,487567.42
262,262,292,621875.49
263,263,294,316008.75
264,264,295,345682.48
265,265,296,201868.1
266,266,297,735505.08
267,267,298,1279481.25
268,268,299,121580.31
269,269,300,131316.25
270,270,301,211164.19
271,271,302,242327.44
272,272,303,417298.15
273,273,304,279618.68
274,274,305,656516.96
275,275,306,429253.46
276,276,307,427700.04
277,277,308,467781.54
278,278,311,98311.75
279,279,312,1037826.69
280,280,313,1288257.35
281,281,314,195522.7
282,282,315,782606.34
283,283,316,1446437.92
284,284,317,605931.84
285,285,318,263296.99
286,286,319,413324.44
287,287,320,584374.54
288,288,321,508262.38
289,289,322,1432321.9
290,290,323,181368.63
291,291,325,472461.18
292,292,326,1056211.3
293,293,327,285345.1
294,294,328,215807.81
295,295,329,327456.48
296,296,330,601287.15
297,297,331,123553.92
298,298,332,212388.42
299,299,333,176675.01
300,300,334,181022.72
301,301,335,162730.21
302,302,336,1210683.84
303,303,337,187551.56
304,304,338,1599118.2
305,305,339,933177.64
306,306,340,184025.99
307,307,341,549994.74
308,308,342,180409.82
309,309,343,231048.78
310,310,344,1160343.6
311,311,345,440034.74
312,312,346,184152.96
313,313,348,248764.39
314,314,349,239643.1
315,315,350,494915.88
316,316,351,369716.26
317,317,354,220411.25
318,318,356,145634.35
319,319,357,454330.18
320,320,358,322802.96
321,321,359,300135.87
322,322,360,428822.42
323,323,361,267624.54
324,324,363,787124.6
325,325,364,894107.7
326,326,366,363731.84
327,327,367,738674.46
328,328,368,359835.28
329,329,369,551023.68
330,330,370,310576.07
331,331,371,941674.56
332,332,372,207699.75
333,333,373,905582.04
334,334,374,84253.83
335,335,375,185263.73
336,336,376,133046.84
337,337,377,517509.75
338,338,379,1126819.4
339,339,380,768836.16
340,340,381,673487.92
341,341,382,91505.23
342,342,383,795008.64
343,343,384,523397.67
344,344,385,306470.42
345,345,386,202226.89
346,346,387,933434.32
347,347,388,318347.76
348,348,390,352450.14
349,349,391,247372.64
350,350,392,428341.25
351,351,393,190027.22
352,352,394,657403.44
353,353,395,329522.98
354,354,396,868549.88
355,355,397,989290.32
356,356,398,348433.86
357,357,399,395736.8
358,358,400,267188.02
359,359,401,168674.46
360,360,403,1316208.32
361,361,404,915354.36
362,362,405,584220.09
363,363,406,244241.09
364,364,407,385042.9
365,365,408,180829.3
366,366,410,390840.5
367,367,411,328343.0
368,368,412,1078373.3
369,369,414,399559.06
370,370,415,520899.98
371,371,416,491271.38
372,372,419,349447.46
373,373,420,164428.04
374,374,421,112572.55
375,375,423,839381.76
376,376,424,691456.64
377,377,427,827194.54
378,378,428,296633.48
379,379,429,150409.13
380,380,430,219305.08
381,381,431,185752.55
382,382,432,1186485.55
383,383,433,446005.27
384,384,435,388291.76
385,385,436,1447292.76
386,386,437,197183.86
387,387,439,1227956.45
388,388,440,138166.9
389,389,441,442042.56
390,390,442,473250.56
391,391,443,804194.94
392,392,444,927509.37
393,393,445,1186991.45
394,394,446,732830.88
395,395,447,158059.41
396,396,448,1081657.47
397,397,449,201554.25
398,398,450,1134131.2
399,399,451,512666.64
400,400,452,960338.2
401,401,453,277230.53
402,402,454,536714.02
403,403,455,133218.23
404,404,456,314673.68
405,405,457,893118.45
406,406,458,745739.22
407,407,459,218406.08
408,408,460,69419.0
409,409,461,948129.2
410,410,462,238371.48
411,411,463,284101.77
412,412,464,144187.52
413,413,465,158255.96
414,414,466,334565.2
415,415,467,938215.32
416,416,468,967063.2
417,417,469,200584.75
418,418,470,923030.32
419,419,471,393592.13
420,420,473,241319.04
421,421,475,443914.82
422,422,477,180063.75
423,423,478,494535.36
424,424,479,274917.89
425,425,480,352588.96
426,426,481,208209.25
