payment_id,payment_code,customer_id,payment_date,payment_amount,payment_method
1,回款-000001,13,2025-02-09,520523.02,银行转账
2,回款-000002,14,2024-12-09,203761.43,银行转账
3,回款-000003,17,2024-12-24,211203.91,银行转账
4,回款-000004,69,2024-12-01,738824.32,银行转账
5,回款-000005,74,2025-03-07,1465315.6,银行转账
6,回款-000006,75,2024-11-11,976148.8,承兑汇票
7,回款-000007,75,2024-10-18,1245581.65,银行转账
8,回款-000008,43,2024-12-21,1249040.25,承兑汇票
9,回款-000009,8,2025-01-14,166270.06,银行转账
10,回款-000010,80,2025-02-06,305835.2,银行转账
11,回款-000011,34,2025-01-29,485956.73,承兑汇票
12,回款-000012,47,2025-01-17,166414.89,承兑汇票
13,回款-000013,48,2025-02-25,407073.13,银行转账
14,回款-000014,72,2025-01-11,236326.56,银行转账
15,回款-000015,53,2024-12-11,387048.74,银行转账
16,回款-000016,29,2024-12-31,538314.96,银行转账
17,回款-000017,79,2025-02-21,352364.28,承兑汇票
18,回款-000018,31,2025-02-19,327627.78,银行转账
19,回款-000019,23,2025-01-16,679012.41,银行转账
20,回款-000020,73,2025-02-14,241703.62,银行转账
21,回款-000021,39,2025-01-27,60053.35,银行转账
22,回款-000022,51,2025-01-08,231730.88,银行转账
23,回款-000023,80,2025-03-09,475929.1,银行转账
24,回款-000024,40,2025-01-23,682444.28,银行转账
25,回款-000025,10,2025-03-04,207788.18,承兑汇票
26,回款-000026,27,2025-01-15,518351.88,承兑汇票
27,回款-000027,69,2025-01-07,345813.84,承兑汇票
28,回款-000028,23,2025-02-25,482547.54,承兑汇票
29,回款-000029,2,2025-02-03,420144.82,银行转账
30,回款-000030,10,2025-01-31,335847.61,银行转账
31,回款-000031,62,2025-02-17,1171188.35,承兑汇票
32,回款-000032,75,2024-12-19,513032.68,银行转账
33,回款-000033,78,2025-01-05,247958.28,承兑汇票
34,回款-000034,27,2025-01-25,258701.38,银行转账
35,回款-000035,2,2025-03-06,250253.1,承兑汇票
36,回款-000036,80,2025-04-17,189820.41,银行转账
37,回款-000037,29,2025-03-12,180347.2,承兑汇票
38,回款-000038,78,2025-02-01,227668.67,承兑汇票
39,回款-000039,45,2025-04-13,730243.04,银行转账
40,回款-000040,27,2024-12-24,790948.05,承兑汇票
41,回款-000041,46,2025-01-16,1107815.05,承兑汇票
42,回款-000042,15,2025-04-20,1508714.9,银行转账
43,回款-000043,43,2024-11-29,423210.45,承兑汇票
44,回款-000044,70,2025-02-24,538487.76,承兑汇票
45,回款-000045,77,2025-01-10,321557.74,承兑汇票
46,回款-000046,67,2025-03-30,327573.35,银行转账
47,回款-000047,68,2025-05-11,237692.07,银行转账
48,回款-000048,66,2025-01-13,727134.32,银行转账
49,回款-000049,23,2025-04-05,1245215.92,承兑汇票
50,回款-000050,69,2025-01-18,619509.28,承兑汇票
51,回款-000051,14,2025-02-19,484604.06,承兑汇票
52,回款-000052,44,2025-01-25,99866.05,承兑汇票
53,回款-000053,51,2025-02-05,220519.3,银行转账
54,回款-000054,74,2024-12-31,331431.48,银行转账
55,回款-000055,37,2024-12-28,476278.96,银行转账
56,回款-000056,30,2025-02-15,212114.06,承兑汇票
57,回款-000057,2,2025-02-28,937148.84,承兑汇票
58,回款-000058,9,2025-01-07,1089055.85,银行转账
59,回款-000059,40,2025-03-05,1189924.4,承兑汇票
60,回款-000060,2,2025-01-21,743935.4,承兑汇票
61,回款-000061,79,2025-03-21,201047.26,承兑汇票
62,回款-000062,4,2025-02-02,249022.55,承兑汇票
63,回款-000063,62,2025-03-10,193625.38,承兑汇票
64,回款-000064,34,2025-01-15,229218.78,银行转账
65,回款-000065,44,2025-01-26,438033.52,银行转账
66,回款-000066,69,2024-12-12,252210.82,银行转账
67,回款-000067,58,2025-02-28,179349.85,承兑汇票
