material_requirement_id,production_order_id,material_id,required_date,required_qty,issued_qty,shortage_qty,is_critical,status
1,1,6,2024-08-06,16,16,0,0,已满足
2,1,7,2024-08-06,38,38,0,0,已满足
3,1,21,2024-08-06,63,63,0,1,已满足
4,1,22,2024-08-06,49,49,0,0,已满足
5,1,23,2024-08-06,31,31,0,0,已满足
6,1,29,2024-08-06,51,51,0,0,已满足
7,1,36,2024-08-06,105.1791,105.1791,0.0,0,已满足
8,1,42,2024-08-06,572.8235,572.8235,0.0,1,已满足
9,1,45,2024-08-06,8,8,0,1,已满足
10,1,49,2024-08-06,13,13,0,0,已满足
11,1,50,2024-08-06,532.8912,532.8912,0.0,1,已满足
12,1,51,2024-08-06,261.012,261.012,0.0,0,已满足
13,1,57,2024-08-06,15,15,0,0,已满足
14,1,70,2024-08-06,62,62,0,1,已满足
15,1,72,2024-08-06,44,44,0,0,已满足
16,1,74,2024-08-06,197.0796,197.0796,0.0,1,已满足
17,1,77,2024-08-06,62,62,0,1,已满足
18,1,114,2024-08-06,537.453,537.453,0.0,1,已满足
19,1,119,2024-08-06,10,10,0,1,已满足
20,2,5,2024-08-06,27,27,0,0,已满足
21,2,8,2024-08-06,34,34,0,0,已满足
22,2,10,2024-08-06,126.7745,126.7745,0.0,0,已满足
23,2,14,2024-08-06,14,14,0,1,已满足
24,2,17,2024-08-06,14,14,0,0,已满足
25,2,28,2024-08-06,183.6181,183.6181,0.0,0,已满足
26,2,52,2024-08-06,87.2926,87.2926,0.0,0,已满足
27,2,53,2024-08-06,35,35,0,0,已满足
28,2,64,2024-08-06,15,15,0,1,已满足
29,2,76,2024-08-06,245.898,245.898,0.0,0,已满足
30,2,81,2024-08-06,35,35,0,0,已满足
31,2,88,2024-08-06,3,3,0,0,已满足
32,2,100,2024-08-06,214.1435,214.1435,0.0,1,已满足
33,2,107,2024-08-06,258.0639,258.0639,0.0,1,已满足
34,2,114,2024-08-06,235.5259,235.5259,0.0,1,已满足
35,3,5,2024-08-07,14,14,0,0,已满足
36,3,8,2024-08-07,17,17,0,0,已满足
37,3,10,2024-08-07,63.3873,63.3873,0.0,0,已满足
38,3,14,2024-08-07,7,7,0,1,已满足
39,3,17,2024-08-07,7,7,0,0,已满足
40,3,28,2024-08-07,91.809,91.809,0.0,0,已满足
41,3,52,2024-08-07,43.6463,43.6463,0.0,0,已满足
42,3,53,2024-08-07,18,18,0,0,已满足
43,3,64,2024-08-07,8,8,0,1,已满足
44,3,76,2024-08-07,122.949,122.949,0.0,0,已满足
45,3,81,2024-08-07,18,18,0,0,已满足
46,3,88,2024-08-07,2,2,0,0,已满足
47,3,100,2024-08-07,107.0718,107.0718,0.0,1,已满足
48,3,107,2024-08-07,129.0319,129.0319,0.0,1,已满足
49,3,114,2024-08-07,117.7629,117.7629,0.0,1,已满足
50,4,25,2024-08-07,10,10,0,0,已满足
51,4,29,2024-08-07,2,2,0,0,已满足
52,4,34,2024-08-07,156.7229,156.7229,0.0,0,已满足
53,4,39,2024-08-07,8,8,0,1,已满足
54,4,40,2024-08-07,9,9,0,1,已满足
55,4,45,2024-08-07,5,5,0,1,已满足
56,4,46,2024-08-07,10,10,0,0,已满足
57,4,57,2024-08-07,8,8,0,0,已满足
58,4,59,2024-08-07,95.2354,95.2354,0.0,1,已满足
59,4,62,2024-08-07,7,7,0,0,已满足
60,4,64,2024-08-07,12,12,0,1,已满足
61,4,74,2024-08-07,111.0222,111.0222,0.0,1,已满足
62,4,92,2024-08-07,60.0315,60.0315,0.0,0,已满足
63,4,97,2024-08-07,13,13,0,0,已满足
64,4,100,2024-08-07,52.2241,52.2241,0.0,1,已满足
65,4,110,2024-08-07,4,4,0,0,已满足
66,4,117,2024-08-07,3,3,0,0,已满足
67,4,119,2024-08-07,11,11,0,1,已满足
68,5,4,2024-08-07,568.2714,568.2714,0.0,1,已满足
69,5,8,2024-08-07,39,39,0,0,已满足
70,5,19,2024-08-07,105.4831,105.4831,0.0,0,已满足
71,5,22,2024-08-07,45,45,0,0,已满足
72,5,26,2024-08-07,377.5027,377.5027,0.0,1,已满足
73,5,48,2024-08-07,55,55,0,0,已满足
74,5,54,2024-08-07,42,42,0,0,已满足
75,5,56,2024-08-07,49,49,0,0,已满足
76,5,71,2024-08-07,26,26,0,0,已满足
77,5,75,2024-08-07,325.3927,325.3927,0.0,0,已满足
78,5,90,2024-08-07,629.3468,629.3468,0.0,0,已满足
79,5,97,2024-08-07,61,61,0,0,已满足
80,5,108,2024-08-07,115.7279,115.7279,0.0,0,已满足
81,5,109,2024-08-07,6,6,0,0,已满足
82,5,116,2024-08-07,298.0523,298.0523,0.0,1,已满足
83,6,4,2024-08-07,197.2636,197.2636,0.0,1,已满足
84,6,33,2024-08-07,32,32,0,1,已满足
85,6,49,2024-08-07,27,27,0,0,已满足
86,6,54,2024-08-07,17,17,0,0,已满足
87,6,65,2024-08-07,27,27,0,0,已满足
88,6,67,2024-08-07,230.0529,230.0529,0.0,1,已满足
89,6,68,2024-08-07,165.3228,165.3228,0.0,0,已满足
90,6,74,2024-08-07,224.127,224.127,0.0,1,已满足
91,6,83,2024-08-07,301.4325,301.4325,0.0,0,已满足
92,6,91,2024-08-07,100.424,100.424,0.0,0,已满足
93,6,98,2024-08-07,56.7822,56.7822,0.0,1,已满足
94,6,99,2024-08-07,237.3946,237.3946,0.0,0,已满足
95,6,105,2024-08-07,33,33,0,0,已满足
96,6,109,2024-08-07,33,33,0,0,已满足
97,7,6,2024-08-07,20,20,0,0,已满足
98,7,7,2024-08-07,48,48,0,0,已满足
99,7,21,2024-08-07,79,79,0,1,已满足
100,7,22,2024-08-07,61,61,0,0,已满足
101,7,23,2024-08-07,39,39,0,0,已满足
102,7,29,2024-08-07,63,63,0,0,已满足
103,7,36,2024-08-07,131.4739,131.4739,0.0,0,已满足
104,7,42,2024-08-07,716.0294,716.0294,0.0,1,已满足
105,7,45,2024-08-07,10,10,0,1,已满足
106,7,49,2024-08-07,16,16,0,0,已满足
107,7,50,2024-08-07,666.114,666.114,0.0,1,已满足
108,7,51,2024-08-07,326.265,326.265,0.0,0,已满足
109,7,57,2024-08-07,19,19,0,0,已满足
110,7,70,2024-08-07,78,78,0,1,已满足
111,7,72,2024-08-07,55,55,0,0,已满足
112,7,74,2024-08-07,246.3494,246.3494,0.0,1,已满足
113,7,77,2024-08-07,77,77,0,1,已满足
114,7,114,2024-08-07,671.8163,671.8163,0.0,1,已满足
115,7,119,2024-08-07,12,12,0,1,已满足
116,8,6,2024-08-07,4,4,0,0,已满足
117,8,7,2024-08-07,10,10,0,0,已满足
118,8,21,2024-08-07,16,16,0,1,已满足
119,8,22,2024-08-07,13,13,0,0,已满足
120,8,23,2024-08-07,8,8,0,0,已满足
121,8,29,2024-08-07,13,13,0,0,已满足
122,8,36,2024-08-07,26.2948,26.2948,0.0,0,已满足
123,8,42,2024-08-07,143.2059,143.2059,0.0,1,已满足
124,8,45,2024-08-07,2,2,0,1,已满足
125,8,49,2024-08-07,4,4,0,0,已满足
126,8,50,2024-08-07,133.2228,133.2228,0.0,1,已满足
127,8,51,2024-08-07,65.253,65.253,0.0,0,已满足
128,8,57,2024-08-07,4,4,0,0,已满足
129,8,70,2024-08-07,16,16,0,1,已满足
130,8,72,2024-08-07,11,11,0,0,已满足
131,8,74,2024-08-07,49.2699,49.2699,0.0,1,已满足
132,8,77,2024-08-07,16,16,0,1,已满足
133,8,114,2024-08-07,134.3633,134.3633,0.0,1,已满足
134,8,119,2024-08-07,3,3,0,1,已满足
135,9,3,2024-08-08,486.3035,486.3035,0.0,0,已满足
136,9,13,2024-08-08,64,64,0,1,已满足
137,9,15,2024-08-08,50,50,0,0,已满足
138,9,33,2024-08-08,44,44,0,1,已满足
139,9,43,2024-08-08,205.2738,205.2738,0.0,0,已满足
140,9,48,2024-08-08,63,63,0,0,已满足
141,9,60,2024-08-08,364.4217,364.4217,0.0,0,已满足
142,9,62,2024-08-08,44,44,0,0,已满足
143,9,63,2024-08-08,38,38,0,0,已满足
144,9,64,2024-08-08,75,75,0,1,已满足
145,9,73,2024-08-08,69,69,0,0,已满足
146,9,83,2024-08-08,55.0692,55.0692,0.0,0,已满足
147,9,92,2024-08-08,579.2336,579.2336,0.0,0,已满足
148,9,108,2024-08-08,502.1882,502.1882,0.0,0,已满足
149,9,118,2024-08-08,21,21,0,1,已满足
150,9,120,2024-08-08,50,50,0,0,已满足
151,10,8,2024-08-10,49,49,0,0,已满足
152,10,10,2024-08-10,374.252,374.252,0.0,0,已满足
153,10,11,2024-08-10,533.4317,533.4317,0.0,1,已满足
154,10,18,2024-08-10,587.1144,587.1144,0.0,1,已满足
155,10,20,2024-08-10,378.0603,378.0603,0.0,0,已满足
156,10,21,2024-08-10,65,65,0,1,已满足
157,10,31,2024-08-10,44,44,0,1,已满足
158,10,35,2024-08-10,219.1948,219.1948,0.0,0,已满足
159,10,48,2024-08-10,18,18,0,0,已满足
160,10,51,2024-08-10,747.0728,747.0728,0.0,0,已满足
161,10,71,2024-08-10,24,24,0,0,已满足
162,10,78,2024-08-10,29,29,0,0,已满足
163,10,79,2024-08-10,35,35,0,1,已满足
164,10,86,2024-08-10,60,60,0,1,已满足
165,10,95,2024-08-10,69,69,0,0,已满足
