production_operation_id,production_order_id,operation_no,operation_name,planned_hours,actual_hours,status
1,1,1,机械加工,20.4789,18.4505,已完成
2,1,2,电气装配,20.4789,21.1198,已完成
3,1,3,整机装配,20.4789,18.0247,已完成
4,1,4,调试检验,20.4789,22.9503,已完成
5,2,1,机械加工,64.8069,63.8917,已完成
6,2,2,电气装配,64.8069,76.3975,已完成
7,2,3,整机装配,64.8069,63.4709,已完成
8,2,4,调试检验,64.8069,58.0202,已完成
9,3,1,机械加工,64.8069,67.4944,已完成
10,3,2,电气装配,64.8069,66.1381,已完成
11,3,3,整机装配,64.8069,61.7546,已完成
12,3,4,调试检验,64.8069,76.1213,已完成
13,4,1,机械加工,31.6118,29.5494,已完成
14,4,2,电气装配,31.6118,29.526,已完成
15,4,3,整机装配,31.6118,30.3422,已完成
16,4,4,调试检验,31.6118,33.1014,已完成
17,5,1,机械加工,44.0494,40.1517,已完成
18,5,2,电气装配,44.0494,44.7987,已完成
19,5,3,整机装配,44.0494,43.7634,已完成
20,5,4,调试检验,44.0494,37.6957,已完成
21,6,1,机械加工,88.218,75.3493,已完成
22,6,2,电气装配,88.218,79.9445,已完成
23,6,3,整机装配,88.218,102.3888,已完成
24,6,4,调试检验,88.218,82.4572,已完成
25,7,1,机械加工,20.4789,21.9385,已完成
26,7,2,电气装配,20.4789,20.8606,已完成
27,7,3,整机装配,20.4789,23.428,已完成
28,7,4,调试检验,20.4789,18.2578,已完成
29,8,1,机械加工,20.4789,19.0837,已完成
30,8,2,电气装配,20.4789,18.3891,已完成
31,8,3,整机装配,20.4789,19.6895,已完成
32,8,4,调试检验,20.4789,18.0593,已完成
33,9,1,机械加工,80.0149,69.5417,已完成
34,9,2,电气装配,80.0149,93.1278,已完成
35,9,3,整机装配,80.0149,83.102,已完成
36,9,4,调试检验,80.0149,87.6183,已完成
37,10,1,机械加工,66.0286,68.7084,已完成
38,10,2,电气装配,66.0286,74.0097,已完成
39,10,3,整机装配,66.0286,72.8216,已完成
40,10,4,调试检验,66.0286,76.8518,已完成
41,11,1,机械加工,99.6553,107.1005,已完成
42,11,2,电气装配,99.6553,85.7377,已完成
43,11,3,整机装配,99.6553,106.8502,已完成
44,11,4,调试检验,99.6553,85.9583,已完成
45,12,1,机械加工,102.9192,113.3054,已完成
46,12,2,电气装配,102.9192,98.0826,已完成
47,12,3,整机装配,102.9192,89.8477,已完成
48,12,4,调试检验,102.9192,101.9552,已完成
49,13,1,机械加工,35.2861,36.8644,已完成
50,13,2,电气装配,35.2861,37.9918,已完成
51,13,3,整机装配,35.2861,41.3594,已完成
52,13,4,调试检验,35.2861,32.4257,已完成
53,14,1,机械加工,97.7957,87.0562,已完成
54,14,2,电气装配,97.7957,93.5788,已完成
55,14,3,整机装配,97.7957,92.8224,已完成
56,14,4,调试检验,97.7957,98.6206,已完成
57,15,1,机械加工,32.9755,32.0366,已完成
58,15,2,电气装配,32.9755,30.4829,已完成
59,15,3,整机装配,32.9755,31.1749,已完成
60,15,4,调试检验,32.9755,33.6512,已完成
61,16,1,机械加工,62.8447,72.8618,已完成
62,16,2,电气装配,62.8447,69.5913,已完成
63,16,3,整机装配,62.8447,62.8261,已完成
64,16,4,调试检验,62.8447,72.146,已完成
65,17,1,机械加工,62.8447,53.523,已完成
66,17,2,电气装配,62.8447,55.9549,已完成
67,17,3,整机装配,62.8447,71.4429,已完成
68,17,4,调试检验,62.8447,61.9441,已完成
69,18,1,机械加工,54.4427,50.1943,已完成
70,18,2,电气装配,54.4427,58.15,已完成
71,18,3,整机装配,54.4427,53.2782,已完成
72,18,4,调试检验,54.4427,52.0479,已完成
73,19,1,机械加工,31.6118,32.3198,已完成
74,19,2,电气装配,31.6118,33.2779,已完成
75,19,3,整机装配,31.6118,35.1335,已完成
76,19,4,调试检验,31.6118,31.8194,已完成
77,20,1,机械加工,102.9192,102.8897,已完成
78,20,2,电气装配,102.9192,89.0955,已完成
79,20,3,整机装配,102.9192,105.0534,已完成
80,20,4,调试检验,102.9192,96.3926,已完成
81,21,1,机械加工,85.4401,74.673,已完成
82,21,2,电气装配,85.4401,87.4227,已完成
83,21,3,整机装配,85.4401,88.4705,已完成
84,21,4,调试检验,85.4401,100.2838,已完成
85,22,1,机械加工,66.0286,56.7379,已完成
86,22,2,电气装配,66.0286,71.8594,已完成
87,22,3,整机装配,66.0286,67.2268,已完成
