production_order_id,company_id,production_order_code,sales_order_line_id,plant_id,product_id,planned_qty,completed_qty,planned_start_date,planned_finish_date,actual_finish_date,progress_rate,status
1,1,生产-000001,1,1,17,4,4.0,2024-08-06,2024-10-21,2024-10-26,100.0,已完成
2,1,生产-000002,2,2,8,2,2.0,2024-08-06,2024-10-31,2024-11-04,100.0,已完成
3,1,生产-000003,3,1,8,1,1.0,2024-08-07,2024-10-19,2024-10-20,100.0,已完成
4,1,生产-000004,4,1,29,1,1.0,2024-08-07,2024-10-31,2024-11-05,100.0,已完成
5,1,生产-000005,5,2,11,4,4.0,2024-08-07,2024-10-03,2024-09-30,100.0,已完成
6,1,生产-000006,6,1,24,2,2.0,2024-08-07,2024-10-21,2024-10-28,100.0,已完成
7,1,生产-000007,7,1,17,5,5.0,2024-08-07,2024-11-20,2024-11-26,100.0,已完成
8,1,生产-000008,8,1,17,1,1.0,2024-08-07,2024-11-14,2024-11-16,100.0,已完成
9,1,生产-000009,9,2,14,4,4.0,2024-08-08,2024-09-05,2024-09-09,100.0,已完成
10,1,生产-000010,10,1,38,5,5.0,2024-08-10,2024-09-05,2024-09-05,100.0,已完成
11,1,生产-000011,11,1,1,3,3.0,2024-08-11,2024-10-27,2024-10-29,100.0,已完成
12,1,生产-000012,12,1,28,1,1.0,2024-08-11,2024-10-22,2024-10-19,100.0,已完成
13,1,生产-000013,13,1,25,1,1.0,2024-08-12,2024-10-13,2024-10-09,100.0,已完成
14,1,生产-000014,14,2,36,2,2.0,2024-08-12,2024-10-20,2024-10-24,100.0,已完成
15,1,生产-000015,15,1,4,5,5.0,2024-08-12,2024-11-19,2024-11-26,100.0,已完成
16,1,生产-000016,16,2,12,1,1.0,2024-08-13,2024-10-23,2024-10-20,100.0,已完成
17,1,生产-000017,17,2,12,1,1.0,2024-08-13,2024-09-17,2024-09-23,100.0,已完成
18,1,生产-000018,18,1,10,1,1.0,2024-08-13,2024-10-13,2024-10-13,100.0,已完成
19,1,生产-000019,19,1,29,1,1.0,2024-08-13,2024-11-12,2024-11-08,100.0,已完成
20,1,生产-000020,20,2,28,2,2.0,2024-08-14,2024-09-10,2024-09-11,100.0,已完成
21,1,生产-000021,21,2,40,1,1.0,2024-08-15,2024-09-21,2024-09-24,100.0,已完成
22,1,生产-000022,22,2,38,1,1.0,2024-08-15,2024-10-08,2024-10-04,100.0,已完成
23,1,生产-000023,23,1,20,2,2.0,2024-08-15,2024-10-20,2024-10-23,100.0,已完成
24,1,生产-000024,24,2,28,2,2.0,2024-08-16,2024-10-17,2024-10-14,100.0,已完成
25,1,生产-000025,25,2,33,4,4.0,2024-08-16,2024-11-30,2024-12-02,100.0,已完成
26,1,生产-000026,26,1,6,2,2.0,2024-08-16,2024-11-10,2024-11-17,100.0,已完成
27,1,生产-000027,27,1,29,3,3.0,2024-08-17,2024-09-22,2024-09-20,100.0,已完成
28,1,生产-000028,28,2,31,3,3.0,2024-08-17,2024-10-13,2024-10-19,100.0,已完成
29,1,生产-000029,29,1,36,2,2.0,2024-08-17,2024-11-25,2024-11-21,100.0,已完成
30,1,生产-000030,30,2,24,1,1.0,2024-08-17,2024-11-14,2024-11-20,100.0,已完成
