purchase_order_line_id,purchase_order_id,line_no,material_id,ordered_qty,received_qty,unit_price,line_amount
1,1,1,22,81,81,576.96,46733.58
2,2,1,53,120,120,515.95,61914.21
3,3,1,48,116,116,267.52,31031.98
4,4,1,19,983.3737,983.3737,5.09,5005.43
5,5,1,90,1060.4376,1060.4376,79.25,84037.19
6,6,1,110,127,127,758.69,96353.05
7,7,1,114,646.6311,646.6311,149.46,96644.91
8,8,1,103,160,160,2180.47,348874.66
9,9,1,42,60.8386,0.0,124.19,7555.49
10,10,1,40,37,37,349.96,12948.63
11,11,1,5,155,155,598.58,92780.49
12,12,1,63,106,106,3005.23,318554.35
13,13,1,34,1063.5783,1063.5783,113.19,120388.25
14,14,1,63,22,22,3113.46,68496.2
15,15,1,25,124,124,35.78,4436.59
16,16,1,33,100,100,33.92,3392.21
17,17,1,54,80,80,798.87,63909.95
18,18,1,109,9,9,488.99,4400.9
19,19,1,85,77,77,754.15,58069.61
20,20,1,34,500.2346,500.2346,111.57,55809.59
21,21,1,13,66,66,732.23,48327.06
22,22,1,46,104,104,656.45,68271.17
23,23,1,85,36,36,716.8,25804.87
24,24,1,119,110,110,3008.94,330983.43
25,25,1,17,110,110,17.82,1960.46
26,26,1,67,875.3138,875.3138,13.48,11800.23
27,27,1,67,145.5837,145.5837,12.43,1810.25
28,28,1,6,83,83,563.71,46787.89
29,29,1,54,72,72,794.98,57238.23
30,30,1,14,154,154,538.45,82921.26
31,31,1,90,268.5378,268.5378,82.56,22170.05
32,32,1,10,1060.0108,1060.0108,87.4,92645.37
33,33,1,35,916.3162,916.3162,9.22,8447.63
34,34,1,50,1194.3424,1194.3424,77.28,92300.5
35,35,1,41,95,95,19.22,1825.9
36,36,1,77,133,133,794.83,105712.41
37,37,1,120,30,30,1244.21,37326.26
38,38,1,93,33,0,432.81,14282.86
39,39,1,49,11,11,32.45,356.92
40,40,1,40,124,124,322.52,39992.73
41,41,1,54,149,149,738.36,110015.41
42,42,1,91,397.5301,397.5301,11.21,4457.6
43,43,1,82,630.9241,630.9241,99.44,62742.12
44,44,1,105,88,88,3.27,287.88
45,45,1,113,148,148,12.73,1884.25
46,46,1,40,116,116,353.65,41023.95
47,47,1,14,138,138,596.78,82355.56
48,48,1,33,121,121,33.58,4063.26
49,49,1,54,50,0,792.39,39619.39
50,50,1,10,1139.0556,1139.0556,91.41,104126.52
51,51,1,61,137,137,529.9,72595.91
52,52,1,77,125,125,725.88,90735.12
53,53,1,104,128,128,2048.81,262247.2
54,54,1,68,315.3145,315.3145,27.1,8545.45
55,55,1,62,65,65,279.62,18175.41
56,56,1,69,144,144,301.42,43405.05
57,57,1,23,79,79,1490.36,117738.08
58,58,1,28,973.1169,973.1169,43.33,42162.49
59,59,1,42,349.936,349.936,126.9,44408.22
60,60,1,84,335.5369,335.5369,27.69,9292.28
61,61,1,5,116,116,647.66,75129.08
62,62,1,113,144,144,11.85,1706.11
63,63,1,11,1063.054,0.0,10.37,11027.26
64,64,1,23,137,137,1441.89,197539.33
65,65,1,113,129,129,12.58,1623.24
66,66,1,94,95,0,465.6,44231.93
67,67,1,38,139,139,358.74,49864.32
68,68,1,24,57,57,344.2,19619.15
69,69,1,106,692.4503,692.4503,83.37,57730.19
70,70,1,83,110.3988,110.3988,8.09,893.02
71,71,1,72,25,25,47.08,1177.12
72,72,1,75,970.0814,970.0814,6.66,6464.0
73,73,1,108,170.8807,170.8807,33.11,5658.23
74,74,1,62,94,94,297.3,27946.04
75,75,1,14,29,29,597.77,17335.25
76,76,1,83,1081.1359,1081.1359,8.65,9348.74
77,77,1,33,120,120,33.77,4052.86
78,78,1,88,131,131,1368.19,179233.07
79,79,1,116,257.5964,257.5964,21.91,5642.94
80,80,1,96,93,93,938.06,87239.68
81,81,1,13,73,73,716.0,52268.17
82,82,1,77,62,62,739.8,45867.35
83,83,1,108,491.4534,491.4534,35.53,17463.15
84,84,1,59,651.0574,651.0574,10.36,6745.51
85,85,1,102,22,22,367.55,8086.04
86,86,1,90,845.6287,845.6287,91.83,77654.17
87,87,1,117,140,140,362.35,50729.35
88,88,1,104,143,143,2043.27,292187.92
89,89,1,69,128,128,274.01,35073.81
90,90,1,82,833.2183,833.2183,101.02,84170.34
91,91,1,27,55.0868,55.0868,10.43,574.29
92,92,1,9,63,63,15.63,984.95
93,93,1,66,286.1572,286.1572,110.16,31523.21
94,94,1,108,322.2042,322.2042,35.97,11588.85
95,95,1,82,897.7994,897.7994,109.25,98082.72
96,96,1,88,22,22,1482.91,32624.08
97,97,1,13,149,149,721.97,107573.77
98,98,1,84,611.3148,611.3148,31.54,19281.02
99,99,1,18,961.2536,961.2536,114.14,109718.75
100,100,1,44,327.2351,327.2351,20.64,6752.97
101,101,1,62,132,132,268.42,35431.66
102,102,1,49,19,19,34.19,649.67
103,103,1,114,1127.8782,1127.8782,137.67,155278.35
104,104,1,60,901.9492,901.9492,22.29,20105.7
105,105,1,23,38,38,1568.23,59592.74
106,106,1,23,64,64,1529.35,97878.44
107,107,1,80,116,116,1324.48,153639.19
108,108,1,99,81.5579,81.5579,4.72,384.89
109,109,1,16,132,132,1743.9,230195.2
110,110,1,48,113,113,271.13,30637.82
111,111,1,82,122.1474,122.1474,109.83,13415.59
112,112,1,28,497.7549,497.7549,46.06,22928.1
113,113,1,39,103,103,3169.29,326437.33
114,114,1,75,34.1019,34.1019,6.22,212.04
115,115,1,2,493.2542,493.2542,80.23,39572.7
116,116,1,75,726.3101,726.3101,7.09,5150.08
117,117,1,46,54,54,654.33,35333.96
118,118,1,21,117,117,405.57,47451.12
119,119,1,117,122,122,347.89,42442.66
120,120,1,80,88,88,1251.95,110171.49
121,121,1,93,17,17,411.2,6990.39
