purchase_order_id,company_id,purchase_order_code,supplier_id,plant_id,order_date,promised_delivery_date,expected_delivery_date,status,buyer_id,currency,order_amount,source_system
1,1,采购-000001,38,1,2024-11-27,2024-12-29,2024-12-29,已完成,22,CNY,46733.58,ERP
2,1,采购-000002,24,1,2026-04-23,2026-05-07,2026-05-07,已完成,23,CNY,61914.21,ERP
3,1,采购-000003,48,2,2025-11-28,2025-12-23,2025-12-23,已完成,24,CNY,31031.98,ERP
4,1,采购-000004,35,2,2025-01-09,2025-02-05,2025-02-05,已完成,25,CNY,5005.43,ERP
5,1,采购-000005,23,1,2025-07-21,2025-08-04,2025-08-07,已完成,26,CNY,84037.19,ERP
6,1,采购-000006,41,1,2025-12-03,2026-01-03,2026-01-03,已完成,21,CNY,96353.05,ERP
7,1,采购-000007,22,2,2026-01-26,2026-03-04,2026-03-06,已完成,22,CNY,96644.91,ERP
8,1,采购-000008,37,1,2025-07-08,2025-07-26,2025-07-26,已完成,23,CNY,348874.66,ERP
9,1,采购-000009,23,1,2026-07-28,2026-08-12,2026-08-12,在途,24,CNY,7555.49,ERP
10,1,采购-000010,49,2,2025-07-06,2025-07-18,2025-07-24,已完成,25,CNY,12948.63,ERP
11,1,采购-000011,9,1,2026-01-26,2026-02-18,2026-02-18,已完成,26,CNY,92780.49,ERP
12,1,采购-000012,39,2,2026-04-30,2026-05-19,2026-05-19,已完成,21,CNY,318554.35,ERP
13,1,采购-000013,24,1,2025-05-07,2025-06-09,2025-06-09,已完成,22,CNY,120388.25,ERP
14,1,采购-000014,11,1,2025-05-23,2025-06-10,2025-06-10,已完成,23,CNY,68496.2,ERP
15,1,采购-000015,25,2,2026-01-24,2026-02-03,2026-02-03,已完成,24,CNY,4436.59,ERP
16,1,采购-000016,1,1,2025-08-20,2025-09-10,2025-09-22,已完成,25,CNY,3392.21,ERP
17,1,采购-000017,9,1,2024-11-08,2024-12-09,2024-12-09,已完成,26,CNY,63909.95,ERP
18,1,采购-000018,12,2,2026-01-11,2026-01-26,2026-01-26,已完成,21,CNY,4400.9,ERP
19,1,采购-000019,42,1,2026-04-18,2026-05-14,2026-05-14,已完成,22,CNY,58069.61,ERP
20,1,采购-000020,24,2,2024-08-01,2024-09-03,2024-09-03,已完成,23,CNY,55809.59,ERP
21,1,采购-000021,32,2,2025-04-11,2025-04-23,2025-04-23,已完成,24,CNY,48327.06,ERP
22,1,采购-000022,33,1,2024-09-05,2024-10-12,2024-10-12,已完成,25,CNY,68271.17,ERP
