quality_inspection_id,inspection_code,inspection_type,supplier_id,material_id,production_order_id,inspection_date,inspected_qty,accepted_qty,rejected_qty,result,defect_type
1,来料检验-000001,来料检验,38,22,,2024-12-29,81,81,0,合格,
2,来料检验-000002,来料检验,24,53,,2026-05-07,120,120,0,合格,
3,来料检验-000003,来料检验,48,48,,2025-12-23,116,116,0,合格,
4,来料检验-000004,来料检验,35,19,,2025-02-05,983.3737,983.3737,0.0,合格,
5,来料检验-000005,来料检验,23,90,,2025-08-07,1060.4376,1060.4376,0.0,合格,
6,来料检验-000006,来料检验,41,110,,2026-01-03,127,127,0,合格,
7,来料检验-000007,来料检验,22,114,,2026-03-06,646.6311,646.6311,0.0,合格,
8,来料检验-000008,来料检验,37,103,,2025-07-26,160,148,12,不合格,尺寸超差
9,来料检验-000009,来料检验,49,40,,2025-07-24,37,37,0,合格,
10,来料检验-000010,来料检验,9,5,,2026-02-18,155,155,0,合格,
11,来料检验-000011,来料检验,39,63,,2026-05-19,106,106,0,合格,
12,来料检验-000012,来料检验,24,34,,2025-06-09,1063.5783,987.9456,75.6327,不合格,性能不达标
13,来料检验-000013,来料检验,11,63,,2025-06-10,22,22,0,合格,
14,来料检验-000014,来料检验,25,25,,2026-02-03,124,124,0,合格,
15,来料检验-000015,来料检验,1,33,,2025-09-22,100,100,0,合格,
16,来料检验-000016,来料检验,9,54,,2024-12-09,80,80,0,合格,
17,来料检验-000017,来料检验,12,109,,2026-01-26,9,9,0,合格,
18,来料检验-000018,来料检验,42,85,,2026-05-14,77,77,0,合格,
19,来料检验-000019,来料检验,24,34,,2024-09-03,500.2346,500.2346,0.0,合格,
20,来料检验-000020,来料检验,32,13,,2025-04-23,66,66,0,合格,
21,来料检验-000021,来料检验,33,46,,2024-10-12,104,104,0,合格,
22,来料检验-000022,来料检验,33,85,,2024-12-03,36,36,0,合格,
23,来料检验-000023,来料检验,50,119,,2024-09-17,110,110,0,合格,
24,来料检验-000024,来料检验,35,17,,2025-06-19,110,110,0,合格,
25,来料检验-000025,来料检验,48,67,,2024-12-24,875.3138,875.3138,0.0,合格,
26,来料检验-000026,来料检验,48,67,,2025-11-14,145.5837,145.5837,0.0,合格,
27,来料检验-000027,来料检验,33,6,,2025-06-26,83,83,0,合格,
28,来料检验-000028,来料检验,9,54,,2025-07-11,72,72,0,合格,
29,来料检验-000029,来料检验,10,14,,2024-10-26,154,154,0,合格,
30,来料检验-000030,来料检验,23,90,,2024-12-25,268.5378,268.5378,0.0,合格,
31,来料检验-000031,来料检验,6,10,,2026-02-17,1060.0108,1060.0108,0.0,合格,
32,来料检验-000032,来料检验,26,35,,2025-03-10,916.3162,916.3162,0.0,合格,
33,来料检验-000033,来料检验,22,50,,2025-01-26,1194.3424,1194.3424,0.0,合格,
34,来料检验-000034,来料检验,49,41,,2025-09-02,95,95,0,合格,
35,来料检验-000035,来料检验,21,77,,2024-12-28,133,133,0,合格,
36,来料检验-000036,来料检验,21,120,,2025-07-03,30,30,0,合格,
37,来料检验-000037,来料检验,30,49,,2024-10-12,11,11,0,合格,
38,来料检验-000038,来料检验,18,40,,2024-09-26,124,124,0,合格,
39,来料检验-000039,来料检验,9,54,,2025-12-02,149,149,0,合格,
40,来料检验-000040,来料检验,12,91,,2026-07-30,397.5301,397.5301,0.0,合格,
41,来料检验-000041,来料检验,16,82,,2026-05-17,630.9241,630.9241,0.0,合格,
42,来料检验-000042,来料检验,28,105,,2024-11-26,88,88,0,合格,
43,来料检验-000043,来料检验,39,113,,2026-06-10,148,148,0,合格,
44,来料检验-000044,来料检验,49,40,,2024-10-20,116,116,0,合格,
45,来料检验-000045,来料检验,36,14,,2025-06-09,138,138,0,合格,
46,来料检验-000046,来料检验,3,33,,2025-06-05,121,121,0,合格,
47,来料检验-000047,来料检验,50,10,,2025-09-07,1139.0556,1139.0556,0.0,合格,
48,来料检验-000048,来料检验,15,61,,2024-08-29,137,137,0,合格,
49,来料检验-000049,来料检验,49,77,,2024-11-13,125,125,0,合格,
50,来料检验-000050,来料检验,41,104,,2026-07-09,128,128,0,合格,
51,来料检验-000051,来料检验,1,68,,2026-02-14,315.3145,315.3145,0.0,合格,
52,来料检验-000052,来料检验,17,62,,2026-05-26,65,65,0,合格,
53,来料检验-000053,来料检验,47,69,,2025-03-01,144,144,0,合格,
54,来料检验-000054,来料检验,42,23,,2025-07-29,79,79,0,合格,
55,来料检验-000055,来料检验,44,28,,2025-12-22,973.1169,973.1169,0.0,合格,
56,来料检验-000056,来料检验,19,42,,2025-03-26,349.936,349.936,0.0,合格,
57,来料检验-000057,来料检验,12,84,,2025-06-18,335.5369,335.5369,0.0,合格,
58,来料检验-000058,来料检验,9,5,,2025-07-23,116,116,0,合格,
59,来料检验-000059,来料检验,39,113,,2024-11-07,144,144,0,合格,
60,来料检验-000060,来料检验,4,23,,2026-02-07,137,137,0,合格,
61,来料检验-000061,来料检验,47,113,,2026-06-23,129,129,0,合格,
62,来料检验-000062,来料检验,11,38,,2024-09-10,139,139,0,合格,
63,来料检验-000063,来料检验,40,24,,2025-05-10,57,57,0,合格,
64,来料检验-000064,来料检验,21,106,,2025-01-10,692.4503,692.4503,0.0,合格,
65,来料检验-000065,来料检验,23,83,,2026-06-29,110.3988,110.3988,0.0,合格,
66,来料检验-000066,来料检验,33,72,,2025-01-31,25,25,0,合格,
67,来料检验-000067,来料检验,30,75,,2026-06-09,970.0814,970.0814,0.0,合格,
68,来料检验-000068,来料检验,43,108,,2026-02-17,170.8807,170.8807,0.0,合格,
69,来料检验-000069,来料检验,8,62,,2025-12-22,94,94,0,合格,
70,来料检验-000070,来料检验,10,14,,2025-09-29,29,29,0,合格,
71,来料检验-000071,来料检验,27,83,,2025-05-24,1081.1359,1081.1359,0.0,合格,
72,来料检验-000072,来料检验,1,33,,2025-03-23,120,120,0,合格,
73,来料检验-000073,来料检验,6,88,,2025-04-28,131,131,0,合格,
74,来料检验-000074,来料检验,50,116,,2026-07-05,257.5964,257.5964,0.0,合格,
75,来料检验-000075,来料检验,44,96,,2026-08-03,93,93,0,合格,
76,来料检验-000076,来料检验,32,13,,2024-09-01,73,73,0,合格,
77,来料检验-000077,来料检验,41,77,,2025-11-27,62,62,0,合格,
78,来料检验-000078,来料检验,43,108,,2024-09-23,491.4534,491.4534,0.0,合格,
79,来料检验-000079,来料检验,17,59,,2025-02-14,651.0574,651.0574,0.0,合格,
80,来料检验-000080,来料检验,12,102,,2025-02-15,22,22,0,合格,
81,来料检验-000081,来料检验,31,90,,2025-12-18,845.6287,845.6287,0.0,合格,
82,来料检验-000082,来料检验,25,117,,2026-03-29,140,140,0,合格,
83,来料检验-000083,来料检验,39,104,,2026-06-07,143,143,0,合格,
84,来料检验-000084,来料检验,28,69,,2024-09-21,128,128,0,合格,
85,来料检验-000085,来料检验,35,82,,2025-01-17,833.2183,833.2183,0.0,合格,
86,来料检验-000086,来料检验,43,27,,2024-11-28,55.0868,55.0868,0.0,合格,
87,来料检验-000087,来料检验,33,9,,2025-09-27,63,63,0,合格,
88,来料检验-000088,来料检验,7,66,,2025-08-29,286.1572,286.1572,0.0,合格,
89,来料检验-000089,来料检验,43,108,,2024-12-13,322.2042,322.2042,0.0,合格,
90,来料检验-000090,来料检验,37,82,,2024-10-20,897.7994,897.7994,0.0,合格,
91,来料检验-000091,来料检验,6,88,,2025-05-28,22,22,0,合格,
92,来料检验-000092,来料检验,5,13,,2025-11-04,149,149,0,合格,
93,来料检验-000093,来料检验,46,84,,2026-01-09,611.3148,611.3148,0.0,合格,
94,来料检验-000094,来料检验,31,18,,2025-03-23,961.2536,961.2536,0.0,合格,
95,来料检验-000095,来料检验,6,44,,2026-01-16,327.2351,327.2351,0.0,合格,
96,来料检验-000096,来料检验,17,62,,2025-06-19,132,132,0,合格,
97,来料检验-000097,来料检验,4,49,,2025-04-26,19,19,0,合格,
98,来料检验-000098,来料检验,25,114,,2025-09-10,1127.8782,1127.8782,0.0,合格,
99,来料检验-000099,来料检验,34,60,,2025-01-20,901.9492,901.9492,0.0,合格,
100,来料检验-000100,来料检验,3,23,,2024-10-15,38,38,0,合格,
101,来料检验-000101,来料检验,4,23,,2024-12-15,64,64,0,合格,
102,来料检验-000102,来料检验,50,80,,2024-10-10,116,116,0,合格,
103,来料检验-000103,来料检验,24,99,,2025-06-15,81.5579,81.5579,0.0,合格,
104,来料检验-000104,来料检验,33,16,,2024-08-25,132,132,0,合格,
105,来料检验-000105,来料检验,23,48,,2026-02-02,113,113,0,合格,
106,来料检验-000106,来料检验,35,82,,2025-02-03,122.1474,122.1474,0.0,合格,
107,来料检验-000107,来料检验,49,28,,2025-02-05,497.7549,497.7549,0.0,合格,
108,来料检验-000108,来料检验,26,39,,2025-08-26,103,103,0,合格,
109,来料检验-000109,来料检验,9,75,,2025-10-31,34.1019,34.1019,0.0,合格,
110,来料检验-000110,来料检验,23,2,,2026-06-16,493.2542,493.2542,0.0,合格,
111,来料检验-000111,来料检验,49,75,,2025-01-01,726.3101,726.3101,0.0,合格,
112,来料检验-000112,来料检验,33,46,,2026-07-01,54,54,0,合格,
113,来料检验-000113,来料检验,11,21,,2025-05-07,117,117,0,合格,
114,来料检验-000114,来料检验,8,117,,2025-12-27,122,122,0,合格,
115,来料检验-000115,来料检验,26,80,,2025-10-29,88,88,0,合格,
116,来料检验-000116,来料检验,40,93,,2025-06-13,17,17,0,合格,
117,来料检验-000117,来料检验,31,92,,2025-10-18,374.8357,374.8357,0.0,合格,
118,来料检验-000118,来料检验,22,120,,2025-06-07,140,140,0,合格,
119,来料检验-000119,来料检验,36,89,,2026-03-01,11,11,0,合格,
120,来料检验-000120,来料检验,37,53,,2025-02-07,49,49,0,合格,
121,来料检验-000121,来料检验,8,34,,2024-10-07,519.6168,519.6168,0.0,合格,
122,来料检验-000122,来料检验,4,16,,2025-03-17,85,85,0,合格,
123,来料检验-000123,来料检验,15,65,,2026-04-04,90,90,0,合格,
124,来料检验-000124,来料检验,11,38,,2025-05-25,144,144,0,合格,
125,来料检验-000125,来料检验,40,32,,2026-05-05,96,96,0,合格,
126,来料检验-000126,来料检验,10,22,,2026-04-30,89,89,0,合格,
127,来料检验-000127,来料检验,43,107,,2025-09-20,491.0405,491.0405,0.0,合格,
128,来料检验-000128,来料检验,31,92,,2026-06-04,379.7625,379.7625,0.0,合格,
129,来料检验-000129,来料检验,46,24,,2024-12-15,8,8,0,合格,
130,来料检验-000130,来料检验,14,21,,2026-07-28,51,51,0,合格,
131,来料检验-000131,来料检验,3,48,,2026-04-23,62,62,0,合格,
132,来料检验-000132,来料检验,4,79,,2024-09-02,71,71,0,合格,
133,来料检验-000133,来料检验,34,23,,2025-11-06,28,28,0,合格,
134,来料检验-000134,来料检验,10,14,,2025-02-01,75,75,0,合格,
135,来料检验-000135,来料检验,34,120,,2026-03-09,86,86,0,合格,
136,来料检验-000136,来料检验,42,33,,2025-01-22,155,155,0,合格,
137,来料检验-000137,来料检验,49,28,,2024-11-04,984.6854,984.6854,0.0,合格,
138,来料检验-000138,来料检验,9,54,,2025-06-30,107,107,0,合格,
139,来料检验-000139,来料检验,28,69,,2026-04-24,6,6,0,合格,
140,来料检验-000140,来料检验,47,29,,2024-10-25,42,42,0,合格,
141,来料检验-000141,来料检验,40,7,,2025-07-08,19,19,0,合格,
142,来料检验-000142,来料检验,42,10,,2025-04-26,49.1427,49.1427,0.0,合格,
143,来料检验-000143,来料检验,42,43,,2025-02-01,56.3811,56.3811,0.0,合格,
144,来料检验-000144,来料检验,30,96,,2026-05-15,132,132,0,合格,
145,来料检验-000145,来料检验,37,103,,2026-05-04,96,96,0,合格,
146,来料检验-000146,来料检验,48,48,,2026-02-09,13,13,0,合格,
147,来料检验-000147,来料检验,48,101,,2024-10-25,67,67,0,合格,
148,来料检验-000148,来料检验,7,27,,2025-08-26,205.9721,205.9721,0.0,合格,
149,来料检验-000149,来料检验,19,86,,2024-11-23,16,16,0,合格,
150,来料检验-000150,来料检验,45,95,,2025-03-06,59,59,0,合格,
151,来料检验-000151,来料检验,32,23,,2025-12-22,128,128,0,合格,
152,来料检验-000152,来料检验,47,76,,2026-02-17,608.1085,608.1085,0.0,合格,
153,来料检验-000153,来料检验,1,68,,2025-06-04,759.5361,759.5361,0.0,合格,
154,来料检验-000154,来料检验,47,6,,2024-10-28,148,148,0,合格,
155,来料检验-000155,来料检验,42,85,,2024-10-30,61,61,0,合格,
156,来料检验-000156,来料检验,5,46,,2024-09-11,71,71,0,合格,
157,来料检验-000157,来料检验,9,54,,2025-10-15,11,11,0,合格,
158,来料检验-000158,来料检验,43,108,,2025-11-02,219.4494,219.4494,0.0,合格,
159,来料检验-000159,来料检验,39,73,,2025-05-04,146,146,0,合格,
160,来料检验-000160,来料检验,7,78,,2026-02-26,115,115,0,合格,
161,来料检验-000161,来料检验,29,15,,2026-03-22,115,115,0,合格,
162,来料检验-000162,来料检验,2,109,,2025-07-15,115,115,0,合格,
163,来料检验-000163,来料检验,49,66,,2026-03-17,61.4662,61.4662,0.0,合格,
164,来料检验-000164,来料检验,46,24,,2026-04-09,110,110,0,合格,
165,来料检验-000165,来料检验,18,46,,2025-02-16,116,116,0,合格,
166,来料检验-000166,来料检验,34,60,,2025-09-19,72.088,65.6946,6.3934,不合格,尺寸超差
167,来料检验-000167,来料检验,19,86,,2026-07-09,35,35,0,合格,
168,来料检验-000168,来料检验,33,107,,2026-05-14,913.2246,913.2246,0.0,合格,
169,来料检验-000169,来料检验,37,117,,2025-06-03,71,71,0,合格,
170,来料检验-000170,来料检验,50,15,,2024-11-19,85,85,0,合格,
171,来料检验-000171,来料检验,40,7,,2024-08-19,56,56,0,合格,
172,来料检验-000172,来料检验,44,57,,2025-11-14,28,28,0,合格,
173,来料检验-000173,来料检验,5,13,,2026-03-16,95,95,0,合格,
174,来料检验-000174,来料检验,36,100,,2026-05-01,124.7974,124.7974,0.0,合格,
175,来料检验-000175,来料检验,16,2,,2025-01-28,716.4013,716.4013,0.0,合格,
176,来料检验-000176,来料检验,34,87,,2025-06-13,87,87,0,合格,
177,来料检验-000177,来料检验,44,105,,2024-12-28,89,89,0,合格,
178,来料检验-000178,来料检验,24,86,,2026-04-02,13,13,0,合格,
179,来料检验-000179,来料检验,44,86,,2026-01-25,71,71,0,合格,
180,来料检验-000180,来料检验,42,43,,2024-09-19,469.7202,469.7202,0.0,合格,
181,来料检验-000181,来料检验,48,18,,2025-07-27,976.2827,976.2827,0.0,合格,
182,来料检验-000182,来料检验,21,120,,2026-01-23,109,109,0,合格,
183,来料检验-000183,来料检验,30,14,,2025-04-16,31,31,0,合格,
184,来料检验-000184,来料检验,21,48,,2025-09-30,12,12,0,合格,
185,来料检验-000185,来料检验,49,40,,2025-09-30,28,28,0,合格,
186,来料检验-000186,来料检验,3,6,,2025-12-28,9,9,0,合格,
187,来料检验-000187,来料检验,1,61,,2025-09-02,137,137,0,合格,
188,来料检验-000188,来料检验,49,82,,2025-04-14,904.6417,904.6417,0.0,合格,
189,来料检验-000189,来料检验,18,50,,2026-01-15,1096.8477,1096.8477,0.0,合格,
190,来料检验-000190,来料检验,4,117,,2025-08-22,135,135,0,合格,
191,来料检验-000191,来料检验,14,8,,2026-05-31,26,26,0,合格,
192,来料检验-000192,来料检验,36,14,,2025-11-14,30,30,0,合格,
193,来料检验-000193,来料检验,33,47,,2024-11-07,96,96,0,合格,
194,来料检验-000194,来料检验,13,96,,2025-10-29,9,9,0,合格,
195,来料检验-000195,来料检验,33,85,,2026-04-20,138,138,0,合格,
196,来料检验-000196,来料检验,12,109,,2025-09-17,39,39,0,合格,
197,来料检验-000197,来料检验,11,21,,2026-07-02,122,122,0,合格,
198,来料检验-000198,来料检验,12,91,,2026-04-06,637.2742,637.2742,0.0,合格,
199,来料检验-000199,来料检验,42,102,,2025-05-16,121,121,0,合格,
200,来料检验-000200,来料检验,9,83,,2025-04-26,216.3647,216.3647,0.0,合格,
201,来料检验-000201,来料检验,41,110,,2026-04-06,8,8,0,合格,
202,来料检验-000202,来料检验,20,91,,2026-04-30,313.5724,313.5724,0.0,合格,
203,来料检验-000203,来料检验,13,91,,2024-08-27,509.0165,509.0165,0.0,合格,
204,来料检验-000204,来料检验,24,52,,2024-11-22,1005.5746,1005.5746,0.0,合格,
205,来料检验-000205,来料检验,10,22,,2025-10-12,79,79,0,合格,
206,来料检验-000206,来料检验,30,31,,2024-11-15,81,81,0,合格,
207,来料检验-000207,来料检验,24,64,,2024-11-01,104,104,0,合格,
208,来料检验-000208,来料检验,21,111,,2025-01-05,35,35,0,合格,
209,来料检验-000209,来料检验,15,23,,2025-04-19,8,8,0,合格,
210,来料检验-000210,来料检验,7,66,,2026-03-10,663.8621,663.8621,0.0,合格,
211,来料检验-000211,来料检验,35,75,,2024-10-05,1178.1294,1178.1294,0.0,合格,
212,来料检验-000212,来料检验,23,59,,2026-07-23,922.3452,922.3452,0.0,合格,
213,来料检验-000213,来料检验,30,75,,2026-04-18,254.5845,254.5845,0.0,合格,
214,来料检验-000214,来料检验,11,79,,2025-05-19,26,26,0,合格,
215,来料检验-000215,来料检验,38,22,,2026-07-25,39,39,0,合格,
216,来料检验-000216,来料检验,39,63,,2024-12-02,94,94,0,合格,
217,来料检验-000217,来料检验,36,42,,2026-02-22,759.5156,759.5156,0.0,合格,
218,来料检验-000218,来料检验,9,5,,2024-11-06,101,101,0,合格,
219,来料检验-000219,来料检验,14,33,,2026-06-21,103,103,0,合格,
220,来料检验-000220,来料检验,34,45,,2026-05-26,131,131,0,合格,
221,来料检验-000221,来料检验,36,64,,2025-07-28,150,150,0,合格,
222,来料检验-000222,来料检验,45,47,,2025-06-20,24,24,0,合格,
223,来料检验-000223,来料检验,27,26,,2024-12-05,467.7295,467.7295,0.0,合格,
224,来料检验-000224,来料检验,36,95,,2025-08-07,83,83,0,合格,
225,来料检验-000225,来料检验,36,95,,2025-02-21,135,135,0,合格,
226,来料检验-000226,来料检验,29,43,,2025-11-05,366.7706,366.7706,0.0,合格,
227,来料检验-000227,来料检验,42,78,,2025-06-29,11,11,0,合格,
228,来料检验-000228,来料检验,13,80,,2025-11-09,11,11,0,合格,
229,来料检验-000229,来料检验,11,38,,2026-02-22,48,48,0,合格,
230,来料检验-000230,来料检验,4,110,,2025-01-24,38,38,0,合格,
231,来料检验-000231,来料检验,28,95,,2025-03-05,33,33,0,合格,
232,来料检验-000232,来料检验,7,16,,2026-06-04,152,152,0,合格,
233,来料检验-000233,来料检验,45,76,,2025-04-29,975.0244,975.0244,0.0,合格,
234,来料检验-000234,来料检验,2,72,,2026-02-03,66,66,0,合格,
235,来料检验-000235,来料检验,22,120,,2024-11-20,59,59,0,合格,
236,来料检验-000236,来料检验,23,83,,2025-10-17,676.1502,676.1502,0.0,合格,
