quotation_id,quotation_code,customer_id,product_id,quotation_date,quantity,estimated_cost,target_margin_rate,quoted_amount,status,converted_sales_order_id
1,报价-000001,13,17,2024-07-23,4,833142.24,0.1997,1041046.03,已转订单,1
2,报价-000002,43,8,2024-07-17,2,279067.0,0.2,348820.0,已转订单,2
3,报价-000003,14,8,2024-07-30,1,139533.5,0.3152,203761.43,已转订单,3
4,报价-000004,17,29,2024-07-17,1,168783.84,0.2008,211203.91,已转订单,4
5,报价-000005,69,11,2024-07-17,4,537442.52,0.2726,738824.33,已转订单,5
6,报价-000006,43,24,2024-07-25,2,179814.5,0.2278,232866.08,已转订单,6
7,报价-000007,74,17,2024-07-16,5,1041427.8,0.2893,1465315.62,已转订单,7
8,报价-000008,63,17,2024-07-29,1,208285.56,0.2957,295743.01,已转订单,8
9,报价-000009,75,14,2024-07-23,4,761097.52,0.2203,976148.78,已转订单,9
10,报价-000010,75,38,2024-08-02,5,927044.05,0.2557,1245581.66,已转订单,10
11,报价-000011,43,1,2024-07-27,3,828873.93,0.3364,1249040.25,已转订单,11
12,报价-000012,8,28,2024-07-25,1,133757.33,0.1955,166270.06,已转订单,12
13,报价-000013,56,25,2024-07-21,1,162429.25,0.22,208252.43,已转订单,13
14,报价-000014,80,36,2024-07-21,2,227195.52,0.2571,305835.21,已转订单,14
15,报价-000015,34,4,2024-08-01,5,712609.8,0.2668,971913.44,已转订单,15
16,报价-000016,47,12,2024-07-24,1,110343.78,0.3369,166414.89,已转订单,16
17,报价-000017,50,12,2024-07-22,1,110343.78,0.3392,166974.63,已转订单,17
18,报价-000018,48,10,2024-08-02,1,292937.19,0.2804,407073.13,已转订单,18
19,报价-000019,72,29,2024-07-21,1,168783.84,0.2858,236326.56,已转订单,19
20,报价-000020,53,28,2024-07-29,2,267514.66,0.3088,387048.73,已转订单,20
21,报价-000021,70,40,2024-07-28,1,193431.78,0.2702,265061.87,已转订单,21
22,报价-000022,63,38,2024-07-25,1,185408.81,0.2114,235101.16,已转订单,22
23,报价-000023,29,20,2024-07-31,2,371861.24,0.3092,538314.97,已转订单,23
24,报价-000024,79,28,2024-07-31,2,267514.66,0.2408,352364.28,已转订单,24
25,报价-000025,18,33,2024-08-03,4,933609.8,0.1945,1159064.86,已转订单,25
26,报价-000026,31,6,2024-07-31,2,249035.9,0.2399,327627.78,已转订单,26
27,报价-000027,23,29,2024-07-27,3,506351.52,0.2543,679012.4,已转订单,27
28,报价-000028,8,31,2024-08-01,3,702306.6,0.2655,956223.76,已转订单,28
29,报价-000029,73,36,2024-08-03,2,227195.52,0.248,302129.53,已转订单,29
30,报价-000030,39,24,2024-08-01,1,89907.25,0.2514,120106.69,已转订单,30
31,报价-000031,51,27,2024-08-09,1,165284.07,0.2867,231730.88,已转订单,31
32,报价-000032,80,40,2024-07-30,2,386863.56,0.1871,475929.1,已转订单,32
33,报价-000033,40,31,2024-08-03,2,468204.4,0.3139,682444.28,已转订单,33
34,报价-000034,10,38,2024-07-28,1,185408.81,0.2862,259735.23,已转订单,34
35,报价-000035,44,12,2024-08-05,2,220687.56,0.2574,297200.95,已转订单,35
36,报价-000036,77,5,2024-08-07,1,189684.82,0.3214,279532.73,已转订单,36
37,报价-000037,27,15,2024-08-03,2,343299.28,0.3377,518351.89,已转订单,37
38,报价-000038,69,6,2024-08-11,2,249035.9,0.2799,345813.83,已转订单,38
39,报价-000039,15,4,2024-08-04,5,712609.8,0.1892,878854.89,已转订单,39
40,报价-000040,23,9,2024-08-10,2,418840.84,0.3056,603184.43,已转订单,40
41,报价-000041,2,27,2024-08-01,2,330568.14,0.2132,420144.82,已转订单,41
42,报价-000042,10,33,2024-08-07,1,233402.45,0.305,335847.61,已转订单,42
43,报价-000043,62,25,2024-08-10,5,812146.25,0.3066,1171188.35,已转订单,43
44,报价-000044,75,30,2024-08-12,2,353215.52,0.3115,513032.67,已转订单,44
45,报价-000045,78,14,2024-08-05,1,190274.38,0.2326,247958.28,已转订单,45
46,报价-000046,27,24,2024-08-02,2,179814.5,0.3049,258701.38,已转订单,46
47,报价-000047,2,37,2024-08-16,1,168580.25,0.3264,250253.1,已转订单,47
48,报价-000048,80,32,2024-08-11,1,192659.1,0.188,237275.51,已转订单,48
49,报价-000049,29,4,2024-08-06,1,142521.96,0.2097,180347.2,已转订单,49
50,报价-000050,78,35,2024-08-10,1,157550.83,0.308,227668.67,已转订单,50
51,报价-000051,11,30,2024-08-12,1,176607.76,0.2785,244788.86,已转订单,51
52,报价-000052,45,10,2024-08-06,2,585874.38,0.1977,730243.04,已转订单,52
53,报价-000053,27,34,2024-08-16,3,590131.08,0.2539,790948.05,已转订单,53
54,报价-000054,46,30,2024-08-11,5,883038.8,0.2029,1107815.06,已转订单,54
55,报价-000055,15,31,2024-08-12,5,1170511.0,0.2242,1508714.89,已转订单,55
56,报价-000056,43,10,2024-08-12,1,292937.19,0.3078,423210.45,已转订单,56
57,报价-000057,70,26,2024-08-18,3,429481.44,0.2024,538487.77,已转订单,57
58,报价-000058,77,33,2024-08-17,1,233402.45,0.2742,321557.74,已转订单,58
59,报价-000059,67,31,2024-08-22,1,234102.2,0.2853,327573.35,已转订单,59
60,报价-000060,10,25,2024-08-16,1,162429.25,0.3072,234460.23,已转订单,60
61,报价-000061,68,27,2024-08-18,1,165284.07,0.3046,237692.07,已转订单,61
62,报价-000062,66,1,2024-08-18,2,552582.62,0.2401,727134.31,已转订单,62
