receipt_line_id,receipt_id,purchase_order_line_id,material_id,received_qty,accepted_qty,rejected_qty
1,1,1,22,81,80,0
2,2,2,53,120,116,0
3,3,3,48,116,111,0
4,4,4,19,983.3737,980.6074,0
5,5,5,90,1060.4376,1040.5864,0
6,6,6,110,127,126,0
7,7,7,114,646.6311,626.4438,0
8,8,8,103,160,155,0
9,9,10,40,37,35,0
10,10,11,5,155,152,0
11,11,12,63,106,105,0
12,12,13,34,1063.5783,1056.6026,0
13,13,14,63,22,21,0
14,14,15,25,124,123,0
15,15,16,33,100,97,0
16,16,17,54,80,76,0
17,17,18,109,9,8,0
18,18,19,85,77,75,0
19,19,20,34,500.2346,486.7335,0
20,20,21,13,66,65,0
21,21,22,46,104,102,0
22,22,23,85,36,34,0
23,23,24,119,110,107,0
24,24,25,17,110,106,0
25,25,26,67,875.3138,858.9917,0
26,26,27,67,145.5837,140.6262,0
27,27,28,6,83,80,0
28,28,29,54,72,69,0
29,29,30,14,154,153,0
30,30,31,90,268.5378,265.432,0
31,31,32,10,1060.0108,1048.4926,0
32,32,33,35,916.3162,914.9756,0
33,33,34,50,1194.3424,1164.8481,0
34,34,35,41,95,91,0
35,35,36,77,133,128,0
36,36,37,120,30,29,0
37,37,39,49,11,10,0
38,38,40,40,124,121,0
39,39,41,54,149,144,0
40,40,42,91,397.5301,394.2822,0
41,41,43,82,630.9241,607.1795,0
42,42,44,105,88,86,0
43,43,45,113,148,144,0
44,44,46,40,116,111,0
45,45,47,14,138,135,0
46,46,48,33,121,117,0
47,47,50,10,1139.0556,1118.1747,0
48,48,51,61,137,131,0
49,49,52,77,125,124,0
50,50,53,104,128,125,0
51,51,54,68,315.3145,308.7894,0
52,52,55,62,65,62,0
53,53,56,69,144,141,0
54,54,57,23,79,76,0
55,55,58,28,973.1169,965.219,0
56,56,59,42,349.936,349.6678,0
57,57,60,84,335.5369,334.4842,0
58,58,61,5,116,112,0
59,59,62,113,144,140,0
60,60,64,23,137,133,0
61,61,65,113,129,126,0
62,62,67,38,139,135,0
63,63,68,24,57,56,0
64,64,69,106,692.4503,680.095,0
65,65,70,83,110.3988,108.2281,0
66,66,71,72,25,24,0
67,67,72,75,970.0814,963.2006,0
68,68,73,108,170.8807,168.4675,0
69,69,74,62,94,90,0
70,70,75,14,29,28,0
71,71,76,83,1081.1359,1050.6347,0
72,72,77,33,120,117,0
73,73,78,88,131,130,0
74,74,79,116,257.5964,248.2489,0
75,75,80,96,93,90,0
76,76,81,13,73,71,0
77,77,82,77,62,60,0
78,78,83,108,491.4534,473.2039,0
