receipt_id,receipt_code,purchase_order_id,supplier_id,plant_id,receipt_date,status
1,入库-000001,1,38,1,2024-12-29,已入库
2,入库-000002,2,24,1,2026-05-07,已入库
3,入库-000003,3,48,2,2025-12-23,已入库
4,入库-000004,4,35,2,2025-02-05,已入库
5,入库-000005,5,23,1,2025-08-07,已入库
6,入库-000006,6,41,1,2026-01-03,已入库
7,入库-000007,7,22,2,2026-03-06,已入库
8,入库-000008,8,37,1,2025-07-26,已入库
9,入库-000009,10,49,2,2025-07-24,已入库
10,入库-000010,11,9,1,2026-02-18,已入库
11,入库-000011,12,39,2,2026-05-19,已入库
12,入库-000012,13,24,1,2025-06-09,已入库
13,入库-000013,14,11,1,2025-06-10,已入库
14,入库-000014,15,25,2,2026-02-03,已入库
15,入库-000015,16,1,1,2025-09-22,已入库
16,入库-000016,17,9,1,2024-12-09,已入库
17,入库-000017,18,12,2,2026-01-26,已入库
18,入库-000018,19,42,1,2026-05-14,已入库
19,入库-000019,20,24,2,2024-09-03,已入库
20,入库-000020,21,32,2,2025-04-23,已入库
21,入库-000021,22,33,1,2024-10-12,已入库
22,入库-000022,23,33,2,2024-12-03,已入库
23,入库-000023,24,50,1,2024-09-17,已入库
24,入库-000024,25,35,1,2025-06-19,已入库
25,入库-000025,26,48,1,2024-12-24,已入库
26,入库-000026,27,48,1,2025-11-14,已入库
27,入库-000027,28,33,1,2025-06-26,已入库
28,入库-000028,29,9,2,2025-07-11,已入库
29,入库-000029,30,10,1,2024-10-26,已入库
30,入库-000030,31,23,1,2024-12-25,已入库
31,入库-000031,32,6,2,2026-02-17,已入库
32,入库-000032,33,26,1,2025-03-10,已入库
33,入库-000033,34,22,2,2025-01-26,已入库
34,入库-000034,35,49,1,2025-09-02,已入库
35,入库-000035,36,21,2,2024-12-28,已入库
36,入库-000036,37,21,1,2025-07-03,已入库
37,入库-000037,39,30,1,2024-10-12,已入库
38,入库-000038,40,18,1,2024-09-26,已入库
39,入库-000039,41,9,2,2025-12-02,已入库
40,入库-000040,42,12,1,2026-07-30,已入库
41,入库-000041,43,16,1,2026-05-17,已入库
42,入库-000042,44,28,1,2024-11-26,已入库
43,入库-000043,45,39,1,2026-06-10,已入库
44,入库-000044,46,49,1,2024-10-20,已入库
45,入库-000045,47,36,2,2025-06-09,已入库
46,入库-000046,48,3,1,2025-06-05,已入库
47,入库-000047,50,50,2,2025-09-07,已入库
48,入库-000048,51,15,2,2024-08-29,已入库
49,入库-000049,52,49,1,2024-11-13,已入库
50,入库-000050,53,41,1,2026-07-09,已入库
51,入库-000051,54,1,1,2026-02-14,已入库
52,入库-000052,55,17,1,2026-05-26,已入库
53,入库-000053,56,47,1,2025-03-01,已入库
54,入库-000054,57,42,1,2025-07-29,已入库
55,入库-000055,58,44,1,2025-12-22,已入库
56,入库-000056,59,19,1,2025-03-26,已入库
57,入库-000057,60,12,2,2025-06-18,已入库
58,入库-000058,61,9,1,2025-07-23,已入库
59,入库-000059,62,39,1,2024-11-07,已入库
60,入库-000060,64,4,2,2026-02-07,已入库
61,入库-000061,65,47,1,2026-06-23,已入库
62,入库-000062,67,11,2,2024-09-10,已入库
63,入库-000063,68,40,1,2025-05-10,已入库
64,入库-000064,69,21,2,2025-01-10,已入库
65,入库-000065,70,23,2,2026-06-29,已入库
66,入库-000066,71,33,2,2025-01-31,已入库
67,入库-000067,72,30,1,2026-06-09,已入库
68,入库-000068,73,43,2,2026-02-17,已入库
69,入库-000069,74,8,1,2025-12-22,已入库
70,入库-000070,75,10,2,2025-09-29,已入库
71,入库-000071,76,27,1,2025-05-24,已入库
72,入库-000072,77,1,1,2025-03-23,已入库
73,入库-000073,78,6,1,2025-04-28,已入库
74,入库-000074,79,50,1,2026-07-05,已入库
75,入库-000075,80,44,1,2026-08-03,已入库
76,入库-000076,81,32,2,2024-09-01,已入库
77,入库-000077,82,41,1,2025-11-27,已入库
78,入库-000078,83,43,1,2024-09-23,已入库
79,入库-000079,84,17,1,2025-02-14,已入库
80,入库-000080,85,12,1,2025-02-15,已入库
81,入库-000081,86,31,1,2025-12-18,已入库
82,入库-000082,87,25,2,2026-03-29,已入库
83,入库-000083,88,39,2,2026-06-07,已入库
84,入库-000084,89,28,2,2024-09-21,已入库
