requirement_allocation_id,material_requirement_id,purchase_order_line_id,allocated_qty
1,27816,755,6
2,27817,3044,1
3,27818,2422,21.7787
4,27819,2042,40.8306
5,27820,3937,49.8415
6,27821,372,8
7,27822,2260,17.1716
8,27823,2024,6
9,27824,866,43.3042
10,27825,1807,73.4254
11,27826,3998,7
12,27827,2399,9
13,27828,1317,8
14,27910,3044,4
15,27911,463,23.3325
16,27912,2431,15.076
17,27913,469,107.9415
18,27914,2829,53.8418
19,27915,1580,8
20,27916,3862,3
21,27917,813,5.5986
22,27918,137,2
23,27919,2300,21.5224
24,27920,664,2
25,27921,2451,1
26,27922,2160,3
27,27923,912,8
28,27924,3807,13
29,27925,2171,20.3909
30,27926,3589,4
31,27956,632,47.7297
32,27957,3897,9
33,27958,433,5
34,27959,533,4
35,27960,396,9
36,27961,1552,60.5707
37,27962,2943,38.498
38,27963,873,46.372
39,27964,3778,63.3187
40,27965,209,22.9356
41,27966,573,14.1909
42,27967,3291,43.2738
43,27968,3252,12
44,27969,649,11
45,27970,3290,138.6948
46,27971,2918,169.2608
47,27972,3811,21
48,27973,3408,8
49,27974,2185,15
50,27975,399,182.4056
51,27976,2,5
52,27977,1836,113.8537
53,27978,3581,36.1483
54,27979,2934,130.245
55,27980,302,8
56,27981,1807,47.0269
57,27982,3998,14
58,27983,2108,20
59,27984,1419,34.7599
60,27985,1175,37.4427
61,28087,3290,99.5021
62,28088,2775,7
63,28089,2431,103.1021
64,28090,2422,119.1925
65,28091,1416,38.3771
66,28092,3811,8
67,28093,958,3
68,28094,2860,69.2783
69,28095,1843,101.6375
70,28096,2185,8
71,28097,1602,60.931
72,28098,2536,4
73,28099,246,2
74,28100,2778,9
75,28101,866,58.1109
76,28102,2331,27.6477
77,28103,3050,2
78,28104,2160,7
79,28105,614,77.4775
80,28106,3589,3
81,28241,3290,137.9335
82,28242,2775,11
83,28243,2431,171.6009
84,28244,2422,157.9771
85,28245,1416,56.227
86,28246,3811,13
87,28247,958,5
88,28248,2860,81.2217
89,28249,1843,158.2268
90,28250,2185,12
91,28251,1602,93.9661
92,28252,2536,6
93,28253,246,4
94,28254,2778,10
95,28255,866,122.9648
96,28256,2331,53.4783
97,28257,3317,4
98,28258,2160,8
99,28259,614,106.4894
100,28260,3865,5
101,28280,3382,61.8235
102,28281,1269,16
103,28282,2079,391.0608
104,28283,2196,176.7024
105,28284,392,35
106,28285,3325,19
107,28286,1177,45
108,28287,1805,6
109,28288,3649,168.4586
110,28289,1083,59
111,28290,2941,46
112,28291,596,20
113,28292,3861,15
114,28293,2674,13
115,28294,2823,67
116,28295,1507,20
117,28296,249,56.5305
118,28297,1337,9
119,28298,3290,93.0243
120,28299,2918,150.6922
121,28300,3811,17
122,28301,3408,6
123,28302,2185,11
124,28303,399,122.4812
125,28304,2,5
126,28305,1836,105.4948
127,28306,3581,37.7565
128,28307,2934,132.2731
129,28308,302,6
130,28309,1807,41.2102
131,28310,3998,11
132,28311,2108,18
133,28312,1419,33.6076
134,28313,1175,37.4427
135,28314,2422,302.0805
136,28315,2129,21
137,28316,1580,26
138,28317,813,33.5198
139,28318,1770,100.6849
140,28319,2025,14
141,28320,372,34
142,28321,246,22
143,28322,673,8
144,28323,2932,393.733
145,28324,2160,51
146,28325,43,454.4863
147,28326,151,44
148,28327,306,20
149,28328,2245,43
150,28364,3290,151.6863
151,28365,461,32
152,28366,2829,61.8538
153,28367,1258,25.5791
154,28368,3811,30
155,28369,3495,34
156,28370,1770,259.5376
157,28371,2185,12
158,28372,1523,26
159,28373,2686,263.407
160,28374,3948,36
161,28375,3581,42.5842
162,28376,3712,28
163,28377,541,168.9647
164,28378,2399,22
165,28379,1147,291.4837
166,28380,648,30
167,28381,1419,35.7457
168,28445,2775,1
169,28446,1699,3
170,28447,3856,12.9953
171,28448,1225,2
172,28449,3495,5
173,28450,2739,3
174,28451,3408,5
175,28452,399,10.1582
176,28453,1836,23.3606
177,28454,2686,7.342
178,28455,673,6
179,28456,2160,5
180,28457,541,12.0775
181,28458,535,9.8558
182,28459,755,19
183,28460,2615,79.9011
184,28461,3811,7
185,28462,874,5
186,28463,1031,16
187,28464,1836,177.5909
188,28465,3948,6
189,28466,3416,14
190,28467,420,3
191,28468,866,90.4976
192,28469,1828,9
193,28470,2451,8
194,28471,436,2
195,28472,3998,24
196,28473,269,30.1749
197,28474,174,176.1305
198,28475,1864,13
199,28476,743,6
200,28477,3830,14
201,28524,2902,158.1878
202,28525,1448,16
203,28526,2422,133.6256
204,28527,1699,12
205,28528,1288,170.8912
206,28529,1225,19
207,28530,2860,19.6293
208,28531,1493,22
209,28532,1523,7
210,28533,3416,22
211,28534,145,6
212,28535,3317,11
213,28536,266,23
214,28537,1807,109.5977
215,28538,3998,17
216,28539,2108,6
217,28540,306,16
218,28541,1864,6
219,28542,2079,80.1995
220,28543,170,16
221,28544,1821,11
222,28545,482,188.7523
223,28546,1382,108.2842
224,28547,433,5
225,28548,2037,86.8653
226,28549,2893,4
227,28550,2483,2
228,28551,396,3
229,28552,596,17
230,28553,3861,22
231,28554,2674,12
232,28555,767,11
233,28556,3291,139.9907
234,28557,3037,29.748
235,28558,87,12
236,28559,2661,12
237,28560,2371,33
238,28561,2079,245.7498
239,28562,2158,351.9498
240,28563,2898,189.055
241,28564,779,261.332
242,28565,1982,33
243,28566,2516,29
244,28567,482,159.4643
245,28568,1805,6
246,28569,2037,313.5563
247,28570,2941,17
248,28571,1414,21
249,28572,491,26
250,28573,3843,23
251,28574,3042,49
252,28575,2848,419.4103
253,28576,1617,15
254,28683,3288,4
255,28684,779,62.2116
256,28685,3325,14
257,28686,1177,12
258,28687,433,16
259,28688,271,7
260,28689,2414,151.867
261,28690,3900,141.5248
262,28691,491,5
263,28692,767,7
264,28693,202,20
265,28694,1270,20
266,28695,752,47.0706
267,28696,2068,6
268,28697,2714,7
269,28698,2422,187.2561
270,28699,2129,12
271,28700,1580,16
272,28701,813,19.3003
273,28702,1770,64.1156
274,28703,3809,9
275,28704,372,24
276,28705,1649,23
277,28706,673,5
278,28707,2932,225.8778
279,28708,2160,29
280,28709,43,254.7188
281,28710,151,30
282,28711,306,12
283,28712,2245,27
284,28727,1180,14
