sales_order_line_id,sales_order_id,line_no,product_id,order_qty,unit_price,line_amount
1,1,1,17,4,260261.51,1041046.03
2,2,1,8,2,174410.0,348820.0
3,3,1,8,1,203761.43,203761.43
4,4,1,29,1,211203.91,211203.91
5,5,1,11,4,184706.08,738824.33
6,6,1,24,2,116433.04,232866.08
7,7,1,17,5,293063.12,1465315.62
8,8,1,17,1,295743.01,295743.01
9,9,1,14,4,244037.2,976148.78
10,10,1,38,5,249116.33,1245581.66
11,11,1,1,3,416346.75,1249040.25
12,12,1,28,1,166270.06,166270.06
13,13,1,25,1,208252.43,208252.43
14,14,1,36,2,152917.6,305835.21
15,15,1,4,5,194382.69,971913.44
16,16,1,12,1,166414.89,166414.89
17,17,1,12,1,166974.63,166974.63
18,18,1,10,1,407073.13,407073.13
19,19,1,29,1,236326.56,236326.56
20,20,1,28,2,193524.37,387048.73
21,21,1,40,1,265061.87,265061.87
22,22,1,38,1,235101.16,235101.16
23,23,1,20,2,269157.48,538314.97
24,24,1,28,2,176182.14,352364.28
25,25,1,33,4,289766.22,1159064.86
26,26,1,6,2,163813.89,327627.78
27,27,1,29,3,226337.47,679012.4
28,28,1,31,3,318741.25,956223.76
29,29,1,36,2,151064.76,302129.53
30,30,1,24,1,120106.69,120106.69
31,31,1,27,1,231730.88,231730.88
32,32,1,40,2,237964.55,475929.1
33,33,1,31,2,341222.14,682444.28
34,34,1,38,1,259735.23,259735.23
35,35,1,12,2,148600.48,297200.95
36,36,1,5,1,279532.73,279532.73
37,37,1,15,2,259175.94,518351.89
38,38,1,6,2,172906.92,345813.83
39,39,1,4,5,175770.98,878854.89
40,40,1,9,2,301592.21,603184.43
41,41,1,27,2,210072.41,420144.82
42,42,1,33,1,335847.61,335847.61
43,43,1,25,5,234237.67,1171188.35
44,44,1,30,2,256516.34,513032.67
45,45,1,14,1,247958.28,247958.28
46,46,1,24,2,129350.69,258701.38
47,47,1,37,1,250253.1,250253.1
48,48,1,32,1,237275.51,237275.51
49,49,1,4,1,180347.2,180347.2
50,50,1,35,1,227668.67,227668.67
51,51,1,30,1,244788.86,244788.86
52,52,1,10,2,365121.52,730243.04
