sales_order_id,company_id,sales_order_code,customer_id,plant_id,order_date,promised_delivery_date,status,sales_owner_id,currency,order_amount,source_system
1,1,销售-000001,13,1,2024-08-01,2024-10-25,已完成,4,CNY,1041046.03,ERP
2,1,销售-000002,43,2,2024-08-01,2024-11-04,已完成,4,CNY,348820.0,ERP
3,1,销售-000003,14,1,2024-08-02,2024-10-23,已完成,5,CNY,203761.43,ERP
4,1,销售-000004,17,1,2024-08-02,2024-11-04,已完成,8,CNY,211203.91,ERP
5,1,销售-000005,69,2,2024-08-02,2024-10-07,已完成,10,CNY,738824.33,ERP
6,1,销售-000006,43,1,2024-08-02,2024-10-25,已完成,4,CNY,232866.08,ERP
7,1,销售-000007,74,1,2024-08-02,2024-11-24,已完成,5,CNY,1465315.62,ERP
8,1,销售-000008,63,1,2024-08-02,2024-11-18,已完成,4,CNY,295743.01,ERP
9,1,销售-000009,75,2,2024-08-03,2024-09-09,已完成,6,CNY,976148.78,ERP
10,1,销售-000010,75,1,2024-08-05,2024-09-09,已完成,6,CNY,1245581.66,ERP
11,1,销售-000011,43,1,2024-08-06,2024-10-31,已完成,4,CNY,1249040.25,ERP
12,1,销售-000012,8,1,2024-08-06,2024-10-26,已完成,9,CNY,166270.06,ERP
13,1,销售-000013,56,1,2024-08-07,2024-10-17,已完成,7,CNY,208252.43,ERP
14,1,销售-000014,80,2,2024-08-07,2024-10-24,已完成,1,CNY,305835.21,ERP
15,1,销售-000015,34,1,2024-08-07,2024-11-23,已完成,5,CNY,971913.44,ERP
16,1,销售-000016,47,2,2024-08-08,2024-10-27,已完成,8,CNY,166414.89,ERP
17,1,销售-000017,50,2,2024-08-08,2024-09-21,已完成,1,CNY,166974.63,ERP
18,1,销售-000018,48,1,2024-08-08,2024-10-17,已完成,9,CNY,407073.13,ERP
19,1,销售-000019,72,1,2024-08-08,2024-11-16,已完成,3,CNY,236326.56,ERP
20,1,销售-000020,53,2,2024-08-09,2024-09-14,已完成,4,CNY,387048.73,ERP
21,1,销售-000021,70,2,2024-08-10,2024-09-25,已完成,1,CNY,265061.87,ERP
22,1,销售-000022,63,2,2024-08-10,2024-10-12,已完成,4,CNY,235101.16,ERP
23,1,销售-000023,29,1,2024-08-10,2024-10-24,已完成,10,CNY,538314.97,ERP
24,1,销售-000024,79,2,2024-08-11,2024-10-21,已完成,10,CNY,352364.28,ERP
25,1,销售-000025,18,2,2024-08-11,2024-12-04,已完成,9,CNY,1159064.86,ERP
26,1,销售-000026,31,1,2024-08-11,2024-11-14,已完成,2,CNY,327627.78,ERP
27,1,销售-000027,23,1,2024-08-12,2024-09-26,已完成,4,CNY,679012.4,ERP
28,1,销售-000028,8,2,2024-08-12,2024-10-17,已完成,9,CNY,956223.76,ERP
29,1,销售-000029,73,1,2024-08-12,2024-11-29,已完成,4,CNY,302129.53,ERP
30,1,销售-000030,39,2,2024-08-12,2024-11-18,已完成,10,CNY,120106.69,ERP
31,1,销售-000031,51,1,2024-08-13,2024-11-08,已完成,2,CNY,231730.88,ERP
32,1,销售-000032,80,1,2024-08-13,2024-11-29,已完成,1,CNY,475929.1,ERP
33,1,销售-000033,40,1,2024-08-13,2024-11-19,已完成,1,CNY,682444.28,ERP
34,1,销售-000034,10,2,2024-08-13,2024-10-19,已完成,1,CNY,259735.23,ERP
35,1,销售-000035,44,1,2024-08-13,2024-10-19,已完成,5,CNY,297200.95,ERP
36,1,销售-000036,77,2,2024-08-14,2024-10-30,已完成,8,CNY,279532.73,ERP
37,1,销售-000037,27,2,2024-08-15,2024-10-18,已完成,8,CNY,518351.89,ERP
38,1,销售-000038,69,1,2024-08-16,2024-11-02,已完成,10,CNY,345813.83,ERP
39,1,销售-000039,15,1,2024-08-17,2024-12-06,已完成,6,CNY,878854.89,ERP
40,1,销售-000040,23,1,2024-08-17,2024-11-16,已完成,4,CNY,603184.43,ERP
41,1,销售-000041,2,2,2024-08-17,2024-11-30,已完成,3,CNY,420144.82,ERP
42,1,销售-000042,10,1,2024-08-18,2024-09-29,已完成,1,CNY,335847.61,ERP
43,1,销售-000043,62,2,2024-08-18,2024-11-29,已完成,3,CNY,1171188.35,ERP
44,1,销售-000044,75,2,2024-08-18,2024-09-24,已完成,6,CNY,513032.67,ERP
45,1,销售-000045,78,2,2024-08-20,2024-10-14,已完成,9,CNY,247958.28,ERP
46,1,销售-000046,27,1,2024-08-20,2024-11-21,已完成,8,CNY,258701.38,ERP
47,1,销售-000047,2,1,2024-08-20,2024-12-07,已完成,3,CNY,250253.1,ERP
48,1,销售-000048,80,1,2024-08-22,2024-12-09,已完成,1,CNY,237275.51,ERP
49,1,销售-000049,29,1,2024-08-23,2024-12-14,已完成,10,CNY,180347.2,ERP
50,1,销售-000050,78,1,2024-08-23,2024-12-19,已完成,9,CNY,227668.67,ERP
51,1,销售-000051,11,1,2024-08-23,2024-11-26,已完成,2,CNY,244788.86,ERP
52,1,销售-000052,45,2,2024-08-24,2024-12-17,已完成,6,CNY,730243.04,ERP
53,1,销售-000053,27,2,2024-08-24,2024-10-19,已完成,8,CNY,790948.05,ERP
54,1,销售-000054,46,2,2024-08-24,2024-10-16,已完成,7,CNY,1107815.06,ERP
55,1,销售-000055,15,1,2024-08-25,2024-12-21,已完成,6,CNY,1508714.89,ERP
56,1,销售-000056,43,2,2024-08-25,2024-10-18,已完成,4,CNY,423210.45,ERP
57,1,销售-000057,70,2,2024-08-26,2024-11-19,已完成,1,CNY,538487.77,ERP
58,1,销售-000058,77,1,2024-08-26,2024-11-01,已完成,8,CNY,321557.74,ERP
59,1,销售-000059,67,1,2024-08-26,2024-11-19,已完成,8,CNY,327573.35,ERP
60,1,销售-000060,10,2,2024-08-27,2024-12-13,已完成,1,CNY,234460.23,ERP
