shipment_line_id,shipment_id,sales_order_line_id,product_id,shipped_qty,unit_price,line_amount
1,1,1,17,4.0,260261.51,1041046.04
2,2,2,8,2.0,174410.0,348820.0
3,3,3,8,1.0,203761.43,203761.43
4,4,4,29,1.0,211203.91,211203.91
5,5,5,11,4.0,184706.08,738824.32
6,6,6,24,2.0,116433.04,232866.08
7,7,7,17,5.0,293063.12,1465315.6
8,8,8,17,1.0,295743.01,295743.01
9,9,9,14,4.0,244037.2,976148.8
10,10,10,38,5.0,249116.33,1245581.65
11,11,11,1,3.0,416346.75,1249040.25
12,12,12,28,1.0,166270.06,166270.06
13,13,13,25,1.0,208252.43,208252.43
14,14,14,36,2.0,152917.6,305835.2
15,15,15,4,5.0,194382.69,971913.45
16,16,16,12,1.0,166414.89,166414.89
17,17,17,12,1.0,166974.63,166974.63
18,18,18,10,1.0,407073.13,407073.13
19,19,19,29,1.0,236326.56,236326.56
20,20,20,28,2.0,193524.37,387048.74
21,21,21,40,1.0,265061.87,265061.87
22,22,22,38,1.0,235101.16,235101.16
23,23,23,20,2.0,269157.48,538314.96
24,24,24,28,2.0,176182.14,352364.28
25,25,25,33,4.0,289766.22,1159064.88
26,26,26,6,2.0,163813.89,327627.78
27,27,27,29,3.0,226337.47,679012.41
28,28,28,31,3.0,318741.25,956223.75
29,29,29,36,2.0,151064.76,302129.52
30,30,30,24,1.0,120106.69,120106.69
31,31,31,27,1.0,231730.88,231730.88
32,32,32,40,2.0,237964.55,475929.1
33,33,33,31,2.0,341222.14,682444.28
34,34,34,38,1.0,259735.23,259735.23
35,35,35,12,2.0,148600.48,297200.96
36,36,36,5,1.0,279532.73,279532.73
37,37,37,15,2.0,259175.94,518351.88
38,38,38,6,2.0,172906.92,345813.84
39,39,39,4,5.0,175770.98,878854.9
40,40,40,9,2.0,301592.21,603184.42
41,41,41,27,2.0,210072.41,420144.82
42,42,42,33,1.0,335847.61,335847.61
43,43,43,25,5.0,234237.67,1171188.35
44,44,44,30,2.0,256516.34,513032.68
45,45,45,14,1.0,247958.28,247958.28
46,46,46,24,2.0,129350.69,258701.38
47,47,47,37,1.0,250253.1,250253.1
48,48,48,32,1.0,237275.51,237275.51
49,49,49,4,1.0,180347.2,180347.2
50,50,50,35,1.0,227668.67,227668.67
51,51,51,30,1.0,244788.86,244788.86
52,52,52,10,2.0,365121.52,730243.04
53,53,53,34,3.0,263649.35,790948.05
54,54,54,30,5.0,221563.01,1107815.05
55,55,55,31,5.0,301742.98,1508714.9
56,56,56,10,1.0,423210.45,423210.45
57,57,57,26,3.0,179495.92,538487.76
58,58,58,33,1.0,321557.74,321557.74
59,59,59,31,1.0,327573.35,327573.35
60,60,60,25,1.0,234460.23,234460.23
61,61,61,27,1.0,237692.07,237692.07
62,62,62,1,2.0,363567.16,727134.32
63,63,63,33,4.0,311303.98,1245215.92
64,64,64,1,2.0,387193.3,774386.6
65,65,65,3,1.0,172776.43,172776.43
66,66,66,32,2.0,242302.03,484604.06
67,67,67,11,1.0,199732.09,199732.09
68,68,68,30,1.0,220519.3,220519.3
69,69,69,3,2.0,165715.74,331431.48
70,70,70,40,2.0,238139.48,476278.96
71,71,71,27,1.0,212114.06,212114.06
72,72,72,25,4.0,234287.21,937148.84
73,73,73,35,5.0,217811.17,1089055.85
74,74,74,18,4.0,297481.1,1189924.4
75,75,75,19,5.0,148787.08,743935.4
76,76,76,26,1.0,201047.26,201047.26
77,77,77,15,1.0,249022.55,249022.55
78,78,78,7,1.0,242031.73,242031.73
79,79,79,33,1.0,286523.48,286523.48
80,80,80,35,2.0,219016.76,438033.52
81,81,81,32,1.0,252210.82,252210.82
82,82,82,8,2.0,174623.48,349246.96
83,83,83,26,1.0,179349.85,179349.85
84,84,84,39,5.0,249384.7,1246923.5
85,85,85,27,1.0,203372.08,203372.08
86,86,86,25,2.0,210873.98,421747.96
87,87,87,6,2.0,174466.23,348932.46
88,88,88,22,4.0,180260.76,721043.04
89,89,89,33,4.0,319014.75,1276059.0
90,90,90,39,1.0,257777.15,257777.15
91,91,91,21,4.0,181184.43,724737.72
92,92,92,38,1.0,245399.98,245399.98
93,93,93,20,3.0,265664.48,796993.44
94,94,94,13,2.0,188672.24,377344.48
95,95,95,26,3.0,206382.17,619146.51
96,96,96,36,3.0,148547.97,445643.91
97,97,97,9,2.0,282902.79,565805.58
98,98,98,15,5.0,214588.54,1072942.7
99,99,99,9,1.0,302711.57,302711.57
100,100,100,33,1.0,301631.66,301631.66
101,101,101,22,1.0,186274.97,186274.97
102,102,102,21,3.0,160907.91,482723.73
103,103,103,19,2.0,166280.98,332561.96
104,104,104,2,2.0,178106.8,356213.6
105,105,105,12,1.0,160874.99,160874.99
106,106,106,8,2.0,171450.13,342900.26
107,107,107,7,1.0,228274.2,228274.2
108,108,108,30,3.0,258735.08,776205.24
109,109,109,33,2.0,320117.07,640234.14
110,110,110,8,1.0,187630.8,187630.8
111,111,111,19,1.0,159688.01,159688.01
112,112,112,35,1.0,232519.89,232519.89
113,113,113,28,4.0,178022.2,712088.8
114,114,114,35,2.0,199102.25,398204.5
115,115,115,20,2.0,249908.73,499817.46
116,116,116,14,1.0,263483.68,263483.68
117,117,117,23,3.0,169485.53,508456.59
118,118,118,38,4.0,239591.63,958366.52
119,119,119,37,2.0,243736.44,487472.88
120,120,120,35,1.0,232243.96,232243.96
121,121,121,32,2.0,275572.15,551144.3
122,122,122,20,1.0,233829.87,233829.87
123,123,123,12,4.0,161839.98,647359.92
124,124,124,23,5.0,179654.23,898271.15
125,125,125,22,5.0,197706.71,988533.55
126,126,126,28,2.0,201649.68,403299.36
127,127,127,33,5.0,286202.76,1431013.8
128,128,128,19,2.0,163577.98,327155.96
129,129,129,13,2.0,186552.34,373104.68
130,130,130,27,2.0,210827.36,421654.72
131,131,131,24,1.0,135519.67,135519.67
132,132,132,26,4.0,197505.35,790021.4
133,133,133,32,2.0,268481.17,536962.34
134,134,134,37,4.0,238679.39,954717.56
135,135,135,35,2.0,198620.91,397241.82
136,136,136,4,1.0,214943.12,214943.12
137,137,137,35,1.0,198993.7,198993.7
138,138,138,28,1.0,168572.71,168572.71
139,139,139,27,1.0,210714.12,210714.12
140,140,140,19,2.0,165713.93,331427.86
141,141,141,9,2.0,266742.93,533485.86
142,142,142,37,4.0,220540.33,882161.32
143,143,143,1,1.0,375502.73,375502.73
144,144,144,26,1.0,201493.56,201493.56
145,145,145,18,3.0,279741.0,839223.0
146,146,146,9,4.0,300678.33,1202713.32
147,147,147,30,2.0,258117.05,516234.1
148,148,148,32,1.0,238965.38,238965.38
149,149,149,9,4.0,290676.24,1162704.96
150,150,150,1,1.0,388984.09,388984.09
151,151,151,25,4.0,224140.78,896563.12
152,152,152,21,2.0,167089.37,334178.74
153,153,153,27,2.0,213684.64,427369.28
154,154,154,4,4.0,202859.69,811438.76
155,155,155,2,4.0,158856.36,635425.44
156,156,156,19,1.0,157491.52,157491.52
157,157,157,23,2.0,166116.56,332233.12
158,158,158,10,3.0,395726.34,1187179.02
159,159,159,33,1.0,291844.12,291844.12
160,160,160,23,3.0,189773.87,569321.61
161,161,161,20,1.0,236104.91,236104.91
162,162,162,21,5.0,169011.6,845058.0
163,163,163,28,1.0,199162.88,199162.88
164,164,164,35,3.0,208040.09,624120.27
165,165,165,39,4.0,235288.82,941155.28
166,166,166,4,2.0,181270.12,362540.24
167,167,167,21,1.0,186626.39,186626.39
