shipment_id,shipment_code,sales_order_id,customer_id,plant_id,shipment_date,shipment_amount,status
1,发货-000001,1,13,1,2024-10-21,1041046.04,已发货
2,发货-000002,2,43,2,2024-11-08,348820.0,已发货
3,发货-000003,3,14,1,2024-10-19,203761.43,已发货
4,发货-000004,4,17,1,2024-11-03,211203.91,已发货
5,发货-000005,5,69,2,2024-10-10,738824.32,已发货
6,发货-000006,6,43,1,2024-10-23,232866.08,已发货
7,发货-000007,7,74,1,2024-11-25,1465315.6,已发货
8,发货-000008,8,63,1,2024-11-18,295743.01,已发货
9,发货-000009,9,75,2,2024-09-15,976148.8,已发货
10,发货-000010,10,75,1,2024-09-10,1245581.65,已发货
11,发货-000011,11,43,1,2024-11-05,1249040.25,已发货
12,发货-000012,12,8,1,2024-10-23,166270.06,已发货
13,发货-000013,13,56,1,2024-10-15,208252.43,已发货
14,发货-000014,14,80,2,2024-10-21,305835.2,已发货
15,发货-000015,15,34,1,2024-11-27,971913.45,已发货
16,发货-000016,16,47,2,2024-10-26,166414.89,已发货
17,发货-000017,17,50,2,2024-09-28,166974.63,已发货
18,发货-000018,18,48,1,2024-10-17,407073.13,已发货
19,发货-000019,19,72,1,2024-11-13,236326.56,已发货
20,发货-000020,20,53,2,2024-09-14,387048.74,已发货
21,发货-000021,21,70,2,2024-09-22,265061.87,已发货
22,发货-000022,22,63,2,2024-10-09,235101.16,已发货
23,发货-000023,23,29,1,2024-10-20,538314.96,已发货
24,发货-000024,24,79,2,2024-10-21,352364.28,已发货
25,发货-000025,25,18,2,2024-12-04,1159064.88,已发货
26,发货-000026,26,31,1,2024-11-13,327627.78,已发货
27,发货-000027,27,23,1,2024-09-26,679012.41,已发货
28,发货-000028,28,8,2,2024-10-23,956223.75,已发货
29,发货-000029,29,73,1,2024-12-02,302129.52,已发货
30,发货-000030,30,39,2,2024-11-17,120106.69,已发货
31,发货-000031,31,51,1,2024-11-08,231730.88,已发货
32,发货-000032,32,80,1,2024-11-26,475929.1,已发货
33,发货-000033,33,40,1,2024-11-22,682444.28,已发货
34,发货-000034,34,10,2,2024-10-20,259735.23,已发货
35,发货-000035,35,44,1,2024-10-20,297200.96,已发货
36,发货-000036,36,77,2,2024-11-04,279532.73,已发货
37,发货-000037,37,27,2,2024-10-23,518351.88,已发货
38,发货-000038,38,69,1,2024-11-06,345813.84,已发货
39,发货-000039,39,15,1,2024-12-06,878854.9,已发货
40,发货-000040,40,23,1,2024-11-21,603184.42,已发货
41,发货-000041,41,2,2,2024-12-05,420144.82,已发货
42,发货-000042,42,10,1,2024-10-05,335847.61,已发货
43,发货-000043,43,62,2,2024-12-02,1171188.35,已发货
44,发货-000044,44,75,2,2024-09-23,513032.68,已发货
45,发货-000045,45,78,2,2024-10-20,247958.28,已发货
46,发货-000046,46,27,1,2024-11-23,258701.38,已发货
47,发货-000047,47,2,1,2024-12-04,250253.1,已发货
48,发货-000048,48,80,1,2024-12-06,237275.51,已发货
49,发货-000049,49,29,1,2024-12-14,180347.2,已发货
50,发货-000050,50,78,1,2024-12-22,227668.67,已发货
51,发货-000051,51,11,1,2024-11-28,244788.86,已发货
52,发货-000052,52,45,2,2024-12-21,730243.04,已发货
53,发货-000053,53,27,2,2024-10-26,790948.05,已发货
54,发货-000054,54,46,2,2024-10-18,1107815.05,已发货
55,发货-000055,55,15,1,2024-12-24,1508714.9,已发货
56,发货-000056,56,43,2,2024-10-18,423210.45,已发货
57,发货-000057,57,70,2,2024-11-24,538487.76,已发货
58,发货-000058,58,77,1,2024-11-05,321557.74,已发货
59,发货-000059,59,67,1,2024-11-22,327573.35,已发货
60,发货-000060,60,10,2,2024-12-10,234460.23,已发货
61,发货-000061,61,68,1,2024-12-22,237692.07,已发货
62,发货-000062,62,66,1,2024-11-26,727134.32,已发货
63,发货-000063,63,23,2,2024-12-23,1245215.92,已发货
64,发货-000064,64,69,1,2024-11-01,774386.6,已发货
65,发货-000065,65,56,2,2024-11-23,172776.43,已发货
66,发货-000066,66,14,2,2024-12-19,484604.06,已发货
67,发货-000067,67,44,2,2024-11-10,199732.09,已发货
68,发货-000068,68,51,1,2024-12-07,220519.3,已发货
69,发货-000069,69,74,1,2024-10-29,331431.48,已发货
70,发货-000070,70,37,1,2024-11-03,476278.96,已发货
71,发货-000071,71,30,1,2024-10-24,212114.06,已发货
72,发货-000072,72,2,1,2024-12-30,937148.84,已发货
73,发货-000073,73,9,2,2024-11-02,1089055.85,已发货
74,发货-000074,74,40,1,2024-12-18,1189924.4,已发货
75,发货-000075,75,2,2,2024-11-17,743935.4,已发货
76,发货-000076,76,79,1,2024-10-28,201047.26,已发货
77,发货-000077,77,4,1,2024-11-11,249022.55,已发货
78,发货-000078,78,62,1,2024-11-26,242031.73,已发货
79,发货-000079,79,34,1,2024-11-13,286523.48,已发货
80,发货-000080,80,44,1,2024-10-30,438033.52,已发货
81,发货-000081,81,69,1,2024-10-12,252210.82,已发货
82,发货-000082,82,80,1,2024-11-29,349246.96,已发货
83,发货-000083,83,58,2,2024-11-07,179349.85,已发货
84,发货-000084,84,40,2,2024-12-18,1246923.5,已发货
85,发货-000085,85,6,2,2024-10-28,203372.08,已发货
86,发货-000086,86,47,2,2024-12-22,421747.96,已发货
87,发货-000087,87,53,2,2024-12-07,348932.46,已发货
88,发货-000088,88,66,1,2024-12-19,721043.04,已发货
89,发货-000089,89,57,1,2024-11-15,1276059.0,已发货
90,发货-000090,90,77,1,2024-12-08,257777.15,已发货
91,发货-000091,91,67,1,2024-10-10,724737.72,已发货
92,发货-000092,92,28,2,2024-12-27,245399.98,已发货
93,发货-000093,93,27,2,2024-10-25,796993.44,已发货
94,发货-000094,94,65,2,2024-11-18,377344.48,已发货
95,发货-000095,95,46,2,2025-01-07,619146.51,已发货
96,发货-000096,96,71,1,2024-10-21,445643.91,已发货
97,发货-000097,97,34,2,2024-12-15,565805.58,已发货
98,发货-000098,98,62,1,2024-12-10,1072942.7,已发货
99,发货-000099,99,66,2,2024-12-02,302711.57,已发货
100,发货-000100,100,15,2,2024-12-01,301631.66,已发货
101,发货-000101,101,65,2,2024-11-16,186274.97,已发货
102,发货-000102,102,48,1,2025-01-03,482723.73,已发货
103,发货-000103,103,27,2,2024-11-03,332561.96,已发货
104,发货-000104,104,36,2,2024-11-19,356213.6,已发货
105,发货-000105,105,45,1,2024-10-27,160874.99,已发货
106,发货-000106,106,1,1,2024-11-29,342900.26,已发货
107,发货-000107,107,33,1,2024-10-28,228274.2,已发货
108,发货-000108,108,31,1,2024-11-10,776205.24,已发货
109,发货-000109,109,43,2,2024-11-05,640234.14,已发货
110,发货-000110,110,80,2,2024-12-31,187630.8,已发货
111,发货-000111,111,59,1,2024-11-16,159688.01,已发货
112,发货-000112,112,24,1,2024-12-14,232519.89,已发货
113,发货-000113,113,1,1,2024-11-12,712088.8,已发货
114,发货-000114,114,61,1,2024-11-03,398204.5,已发货
115,发货-000115,115,43,2,2024-11-25,499817.46,已发货
116,发货-000116,116,52,1,2024-11-18,263483.68,已发货
117,发货-000117,117,68,2,2024-11-15,508456.59,已发货
118,发货-000118,118,73,2,2025-01-09,958366.52,已发货
119,发货-000119,119,69,1,2024-11-01,487472.88,已发货
120,发货-000120,120,66,1,2024-11-23,232243.96,已发货
121,发货-000121,121,80,1,2024-12-16,551144.3,已发货
122,发货-000122,122,53,2,2024-11-22,233829.87,已发货
123,发货-000123,123,55,1,2024-11-02,647359.92,已发货
124,发货-000124,124,49,1,2024-12-30,898271.15,已发货
125,发货-000125,125,25,1,2024-12-29,988533.55,已发货
126,发货-000126,126,38,1,2024-11-18,403299.36,已发货
127,发货-000127,127,53,1,2024-11-11,1431013.8,已发货
128,发货-000128,128,57,1,2025-01-12,327155.96,已发货
129,发货-000129,129,59,1,2024-10-30,373104.68,已发货
130,发货-000130,130,15,1,2024-12-23,421654.72,已发货
131,发货-000131,131,56,1,2024-10-26,135519.67,已发货
132,发货-000132,132,59,2,2025-01-06,790021.4,已发货
133,发货-000133,133,51,2,2025-01-04,536962.34,已发货
134,发货-000134,134,77,1,2025-01-09,954717.56,已发货
135,发货-000135,135,77,1,2024-12-07,397241.82,已发货
136,发货-000136,136,40,2,2024-12-03,214943.12,已发货
137,发货-000137,137,78,2,2024-12-16,198993.7,已发货
138,发货-000138,138,35,1,2024-12-19,168572.71,已发货
139,发货-000139,139,76,2,2024-12-12,210714.12,已发货
