supplier_material_id,supplier_id,material_id,supplier_material_code,quoted_price,lead_time_days,minimum_order_qty,priority_rank,is_approved
1,1,1,供料-001-001,87.88,14,67.6079,1,1
2,19,1,供料-019-001,87.64,19,43.8301,2,1
3,48,1,供料-048-001,95.71,18,41.6763,3,1
4,24,1,供料-024-001,87.36,20,62.7489,4,1
5,21,1,供料-021-001,93.76,15,43.8067,5,1
6,16,2,供料-016-002,93.63,27,20.2118,1,1
7,13,2,供料-013-002,88.56,25,49.5497,2,1
8,23,2,供料-023-002,97.34,30,18.5715,3,1
9,35,2,供料-035-002,85.37,24,64.555,4,1
10,8,2,供料-008-002,85.54,32,51.4834,5,1
11,3,2,供料-003-002,81.63,25,41.3557,6,1
12,3,3,供料-003-003,12.89,9,61.0287,1,1
13,15,3,供料-015-003,12.08,9,64.503,2,1
14,29,3,供料-029-003,13.74,6,17.4903,3,1
15,45,4,供料-045-004,24.53,13,37.3479,1,1
16,5,4,供料-005-004,27.7,23,50.5858,2,1
17,12,4,供料-012-004,26.87,17,64.6831,3,1
18,8,4,供料-008-004,24.21,20,69.2788,4,1
19,28,5,供料-028-005,542.41,17,15,1,1
20,9,5,供料-009-005,575.59,23,40,2,1
21,14,5,供料-014-005,575.49,18,6,3,1
22,29,6,供料-029-006,416.94,12,51,1,1
23,27,6,供料-027-006,414.1,9,63,2,1
24,33,6,供料-033-006,398.74,7,78,3,1
25,47,6,供料-047-006,420.9,6,20,4,1
26,10,6,供料-010-006,425.82,15,44,5,1
27,3,6,供料-003-006,414.78,15,22,6,1
28,40,7,供料-040-007,2750.77,16,29,1,1
29,36,7,供料-036-007,2570.08,26,80,2,1
30,19,7,供料-019-007,2944.27,22,21,3,1
31,14,8,供料-014-008,1522.92,21,6,1,1
32,13,8,供料-013-008,1514.53,30,75,2,1
33,38,8,供料-038-008,1497.91,24,35,3,1
34,36,8,供料-036-008,1566.61,29,25,4,1
35,12,9,供料-012-009,13.63,10,28,1,1
36,22,9,供料-022-009,12.13,9,75,2,1
37,40,9,供料-040-009,14.67,10,66,3,1
38,33,9,供料-033-009,13.44,7,78,4,1
39,49,9,供料-049-009,13.66,12,35,5,1
40,10,9,供料-010-009,13.59,12,62,6,1
41,50,10,供料-050-010,87.61,28,12.051,1,1
42,6,10,供料-006-010,88.14,27,9.5503,2,1
43,42,10,供料-042-010,90.36,36,9.1663,3,1
44,34,11,供料-034-011,10.11,18,69.6581,1,1
45,44,11,供料-044-011,10.5,27,29.4841,2,1
46,18,11,供料-018-011,10.06,26,39.9045,3,1
47,14,11,供料-014-011,9.33,26,67.0781,4,1
48,44,12,供料-044-012,27.45,22,36.1764,1,1
49,42,12,供料-042-012,23.54,25,69.0731,2,1
50,11,12,供料-011-012,24.86,23,51.177,3,1
51,1,12,供料-001-012,23.77,24,31.8054,4,1
52,45,12,供料-045-012,24.53,17,44.0983,5,1
53,20,13,供料-020-013,737.4,13,23,1,1
54,5,13,供料-005-013,732.87,15,18,2,1
55,32,13,供料-032-013,777.79,12,17,3,1
56,36,14,供料-036-014,550.26,41,37,1,1
57,30,14,供料-030-014,642.85,40,27,2,1
58,10,14,供料-010-014,636.69,31,59,3,1
59,50,15,供料-050-015,1513.36,6,30,1,1
60,45,15,供料-045-015,1402.89,3,56,2,1
61,47,15,供料-047-015,1467.37,11,29,3,1
62,39,15,供料-039-015,1531.68,12,36,4,1
63,4,15,供料-004-015,1396.98,11,32,5,1
64,29,15,供料-029-015,1559.42,8,75,6,1
65,33,16,供料-033-016,1365.59,7,58,1,1
66,46,16,供料-046-016,1474.38,11,78,2,1
67,43,16,供料-043-016,1393.25,13,24,3,1
68,23,16,供料-023-016,1554.02,16,62,4,1
69,4,16,供料-004-016,1462.68,11,44,5,1
70,7,16,供料-007-016,1458.19,14,13,6,1
71,8,17,供料-008-017,18.44,33,24,1,1
