supplier_price_tier_id,supplier_material_id,min_qty,discount_rate,effective_from,effective_to
1,1,50,0.02,2026-01-01,2026-12-31
2,1,200,0.05,2026-01-01,2026-12-31
3,1,500,0.08,2026-01-01,2026-12-31
4,2,50,0.02,2026-01-01,2026-12-31
5,2,200,0.05,2026-01-01,2026-12-31
6,2,500,0.08,2026-01-01,2026-12-31
7,3,50,0.02,2026-01-01,2026-12-31
8,3,200,0.05,2026-01-01,2026-12-31
9,3,500,0.08,2026-01-01,2026-12-31
10,4,50,0.02,2026-01-01,2026-12-31
11,4,200,0.05,2026-01-01,2026-12-31
12,4,500,0.08,2026-01-01,2026-12-31
13,5,50,0.02,2026-01-01,2026-12-31
14,5,200,0.05,2026-01-01,2026-12-31
15,5,500,0.08,2026-01-01,2026-12-31
16,6,50,0.02,2026-01-01,2026-12-31
17,6,200,0.05,2026-01-01,2026-12-31
18,6,500,0.08,2026-01-01,2026-12-31
19,7,50,0.02,2026-01-01,2026-12-31
20,7,200,0.05,2026-01-01,2026-12-31
21,7,500,0.08,2026-01-01,2026-12-31
22,8,50,0.02,2026-01-01,2026-12-31
23,8,200,0.05,2026-01-01,2026-12-31
24,8,500,0.08,2026-01-01,2026-12-31
25,9,50,0.02,2026-01-01,2026-12-31
26,9,200,0.05,2026-01-01,2026-12-31
27,9,500,0.08,2026-01-01,2026-12-31
28,10,50,0.02,2026-01-01,2026-12-31
29,10,200,0.05,2026-01-01,2026-12-31
30,10,500,0.08,2026-01-01,2026-12-31
31,11,50,0.02,2026-01-01,2026-12-31
32,11,200,0.05,2026-01-01,2026-12-31
33,11,500,0.08,2026-01-01,2026-12-31
34,12,50,0.02,2026-01-01,2026-12-31
35,12,200,0.05,2026-01-01,2026-12-31
36,12,500,0.08,2026-01-01,2026-12-31
37,13,50,0.02,2026-01-01,2026-12-31
38,13,200,0.05,2026-01-01,2026-12-31
39,13,500,0.08,2026-01-01,2026-12-31
40,14,50,0.02,2026-01-01,2026-12-31
41,14,200,0.05,2026-01-01,2026-12-31
42,14,500,0.08,2026-01-01,2026-12-31
43,15,50,0.02,2026-01-01,2026-12-31
44,15,200,0.05,2026-01-01,2026-12-31
45,15,500,0.08,2026-01-01,2026-12-31
46,16,50,0.02,2026-01-01,2026-12-31
47,16,200,0.05,2026-01-01,2026-12-31
48,16,500,0.08,2026-01-01,2026-12-31
49,17,50,0.02,2026-01-01,2026-12-31
50,17,200,0.05,2026-01-01,2026-12-31
51,17,500,0.08,2026-01-01,2026-12-31
52,18,50,0.02,2026-01-01,2026-12-31
53,18,200,0.05,2026-01-01,2026-12-31
54,18,500,0.08,2026-01-01,2026-12-31
55,19,50,0.02,2026-01-01,2026-12-31
56,19,200,0.05,2026-01-01,2026-12-31
57,19,500,0.08,2026-01-01,2026-12-31
58,20,50,0.02,2026-01-01,2026-12-31
59,20,200,0.05,2026-01-01,2026-12-31
60,20,500,0.08,2026-01-01,2026-12-31
61,21,50,0.02,2026-01-01,2026-12-31
62,21,200,0.05,2026-01-01,2026-12-31
63,21,500,0.08,2026-01-01,2026-12-31
64,22,50,0.02,2026-01-01,2026-12-31
65,22,200,0.05,2026-01-01,2026-12-31
66,22,500,0.08,2026-01-01,2026-12-31
67,23,50,0.02,2026-01-01,2026-12-31
68,23,200,0.05,2026-01-01,2026-12-31
69,23,500,0.08,2026-01-01,2026-12-31
70,24,50,0.02,2026-01-01,2026-12-31
71,24,200,0.05,2026-01-01,2026-12-31
72,24,500,0.08,2026-01-01,2026-12-31
73,25,50,0.02,2026-01-01,2026-12-31
74,25,200,0.05,2026-01-01,2026-12-31
75,25,500,0.08,2026-01-01,2026-12-31
76,26,50,0.02,2026-01-01,2026-12-31
77,26,200,0.05,2026-01-01,2026-12-31
78,26,500,0.08,2026-01-01,2026-12-31
79,27,50,0.02,2026-01-01,2026-12-31
80,27,200,0.05,2026-01-01,2026-12-31
81,27,500,0.08,2026-01-01,2026-12-31
82,28,50,0.02,2026-01-01,2026-12-31
83,28,200,0.05,2026-01-01,2026-12-31
84,28,500,0.08,2026-01-01,2026-12-31
85,29,50,0.02,2026-01-01,2026-12-31
86,29,200,0.05,2026-01-01,2026-12-31
87,29,500,0.08,2026-01-01,2026-12-31
88,30,50,0.02,2026-01-01,2026-12-31
89,30,200,0.05,2026-01-01,2026-12-31
90,30,500,0.08,2026-01-01,2026-12-31
91,31,50,0.02,2026-01-01,2026-12-31
92,31,200,0.05,2026-01-01,2026-12-31
93,31,500,0.08,2026-01-01,2026-12-31
94,32,50,0.02,2026-01-01,2026-12-31
95,32,200,0.05,2026-01-01,2026-12-31
96,32,500,0.08,2026-01-01,2026-12-31
97,33,50,0.02,2026-01-01,2026-12-31
98,33,200,0.05,2026-01-01,2026-12-31
99,33,500,0.08,2026-01-01,2026-12-31
100,34,50,0.02,2026-01-01,2026-12-31
101,34,200,0.05,2026-01-01,2026-12-31
102,34,500,0.08,2026-01-01,2026-12-31
103,35,50,0.02,2026-01-01,2026-12-31
104,35,200,0.05,2026-01-01,2026-12-31
105,35,500,0.08,2026-01-01,2026-12-31
106,36,50,0.02,2026-01-01,2026-12-31
107,36,200,0.05,2026-01-01,2026-12-31
108,36,500,0.08,2026-01-01,2026-12-31
109,37,50,0.02,2026-01-01,2026-12-31
110,37,200,0.05,2026-01-01,2026-12-31
111,37,500,0.08,2026-01-01,2026-12-31
112,38,50,0.02,2026-01-01,2026-12-31
113,38,200,0.05,2026-01-01,2026-12-31
114,38,500,0.08,2026-01-01,2026-12-31
115,39,50,0.02,2026-01-01,2026-12-31
116,39,200,0.05,2026-01-01,2026-12-31
117,39,500,0.08,2026-01-01,2026-12-31
118,40,50,0.02,2026-01-01,2026-12-31
119,40,200,0.05,2026-01-01,2026-12-31
120,40,500,0.08,2026-01-01,2026-12-31
121,41,50,0.02,2026-01-01,2026-12-31
122,41,200,0.05,2026-01-01,2026-12-31
123,41,500,0.08,2026-01-01,2026-12-31
124,42,50,0.02,2026-01-01,2026-12-31
125,42,200,0.05,2026-01-01,2026-12-31
126,42,500,0.08,2026-01-01,2026-12-31
127,43,50,0.02,2026-01-01,2026-12-31
128,43,200,0.05,2026-01-01,2026-12-31
129,43,500,0.08,2026-01-01,2026-12-31
130,44,50,0.02,2026-01-01,2026-12-31
131,44,200,0.05,2026-01-01,2026-12-31
132,44,500,0.08,2026-01-01,2026-12-31
133,45,50,0.02,2026-01-01,2026-12-31
134,45,200,0.05,2026-01-01,2026-12-31
135,45,500,0.08,2026-01-01,2026-12-31
136,46,50,0.02,2026-01-01,2026-12-31
137,46,200,0.05,2026-01-01,2026-12-31
138,46,500,0.08,2026-01-01,2026-12-31
139,47,50,0.02,2026-01-01,2026-12-31
140,47,200,0.05,2026-01-01,2026-12-31
141,47,500,0.08,2026-01-01,2026-12-31
142,48,50,0.02,2026-01-01,2026-12-31
143,48,200,0.05,2026-01-01,2026-12-31
144,48,500,0.08,2026-01-01,2026-12-31
145,49,50,0.02,2026-01-01,2026-12-31
146,49,200,0.05,2026-01-01,2026-12-31
147,49,500,0.08,2026-01-01,2026-12-31
148,50,50,0.02,2026-01-01,2026-12-31
149,50,200,0.05,2026-01-01,2026-12-31
150,50,500,0.08,2026-01-01,2026-12-31
151,51,50,0.02,2026-01-01,2026-12-31
152,51,200,0.05,2026-01-01,2026-12-31
153,51,500,0.08,2026-01-01,2026-12-31
154,52,50,0.02,2026-01-01,2026-12-31
155,52,200,0.05,2026-01-01,2026-12-31
156,52,500,0.08,2026-01-01,2026-12-31
157,53,50,0.02,2026-01-01,2026-12-31
158,53,200,0.05,2026-01-01,2026-12-31
159,53,500,0.08,2026-01-01,2026-12-31
160,54,50,0.02,2026-01-01,2026-12-31
161,54,200,0.05,2026-01-01,2026-12-31
162,54,500,0.08,2026-01-01,2026-12-31
163,55,50,0.02,2026-01-01,2026-12-31
164,55,200,0.05,2026-01-01,2026-12-31
165,55,500,0.08,2026-01-01,2026-12-31
166,56,50,0.02,2026-01-01,2026-12-31
167,56,200,0.05,2026-01-01,2026-12-31
168,56,500,0.08,2026-01-01,2026-12-31
169,57,50,0.02,2026-01-01,2026-12-31
170,57,200,0.05,2026-01-01,2026-12-31
171,57,500,0.08,2026-01-01,2026-12-31
172,58,50,0.02,2026-01-01,2026-12-31
173,58,200,0.05,2026-01-01,2026-12-31
174,58,500,0.08,2026-01-01,2026-12-31
175,59,50,0.02,2026-01-01,2026-12-31
176,59,200,0.05,2026-01-01,2026-12-31
177,59,500,0.08,2026-01-01,2026-12-31
178,60,50,0.02,2026-01-01,2026-12-31
179,60,200,0.05,2026-01-01,2026-12-31
180,60,500,0.08,2026-01-01,2026-12-31
181,61,50,0.02,2026-01-01,2026-12-31
182,61,200,0.05,2026-01-01,2026-12-31
183,61,500,0.08,2026-01-01,2026-12-31
184,62,50,0.02,2026-01-01,2026-12-31
185,62,200,0.05,2026-01-01,2026-12-31
186,62,500,0.08,2026-01-01,2026-12-31
187,63,50,0.02,2026-01-01,2026-12-31
188,63,200,0.05,2026-01-01,2026-12-31
189,63,500,0.08,2026-01-01,2026-12-31
190,64,50,0.02,2026-01-01,2026-12-31
191,64,200,0.05,2026-01-01,2026-12-31
192,64,500,0.08,2026-01-01,2026-12-31
193,65,50,0.02,2026-01-01,2026-12-31
194,65,200,0.05,2026-01-01,2026-12-31
195,65,500,0.08,2026-01-01,2026-12-31
196,66,50,0.02,2026-01-01,2026-12-31
197,66,200,0.05,2026-01-01,2026-12-31
198,66,500,0.08,2026-01-01,2026-12-31
199,67,50,0.02,2026-01-01,2026-12-31
200,67,200,0.05,2026-01-01,2026-12-31
201,67,500,0.08,2026-01-01,2026-12-31
202,68,50,0.02,2026-01-01,2026-12-31
203,68,200,0.05,2026-01-01,2026-12-31
204,68,500,0.08,2026-01-01,2026-12-31
205,69,50,0.02,2026-01-01,2026-12-31
206,69,200,0.05,2026-01-01,2026-12-31
207,69,500,0.08,2026-01-01,2026-12-31
208,70,50,0.02,2026-01-01,2026-12-31
209,70,200,0.05,2026-01-01,2026-12-31
210,70,500,0.08,2026-01-01,2026-12-31
211,71,50,0.02,2026-01-01,2026-12-31
212,71,200,0.05,2026-01-01,2026-12-31
213,71,500,0.08,2026-01-01,2026-12-31
214,72,50,0.02,2026-01-01,2026-12-31
215,72,200,0.05,2026-01-01,2026-12-31
216,72,500,0.08,2026-01-01,2026-12-31
217,73,50,0.02,2026-01-01,2026-12-31
218,73,200,0.05,2026-01-01,2026-12-31
219,73,500,0.08,2026-01-01,2026-12-31
220,74,50,0.02,2026-01-01,2026-12-31
221,74,200,0.05,2026-01-01,2026-12-31
222,74,500,0.08,2026-01-01,2026-12-31
223,75,50,0.02,2026-01-01,2026-12-31
224,75,200,0.05,2026-01-01,2026-12-31
225,75,500,0.08,2026-01-01,2026-12-31
226,76,50,0.02,2026-01-01,2026-12-31
227,76,200,0.05,2026-01-01,2026-12-31
228,76,500,0.08,2026-01-01,2026-12-31
229,77,50,0.02,2026-01-01,2026-12-31
230,77,200,0.05,2026-01-01,2026-12-31
231,77,500,0.08,2026-01-01,2026-12-31
232,78,50,0.02,2026-01-01,2026-12-31
233,78,200,0.05,2026-01-01,2026-12-31
234,78,500,0.08,2026-01-01,2026-12-31
235,79,50,0.02,2026-01-01,2026-12-31
236,79,200,0.05,2026-01-01,2026-12-31
237,79,500,0.08,2026-01-01,2026-12-31
238,80,50,0.02,2026-01-01,2026-12-31
239,80,200,0.05,2026-01-01,2026-12-31
240,80,500,0.08,2026-01-01,2026-12-31
241,81,50,0.02,2026-01-01,2026-12-31
242,81,200,0.05,2026-01-01,2026-12-31
243,81,500,0.08,2026-01-01,2026-12-31
244,82,50,0.02,2026-01-01,2026-12-31
245,82,200,0.05,2026-01-01,2026-12-31
246,82,500,0.08,2026-01-01,2026-12-31
247,83,50,0.02,2026-01-01,2026-12-31
248,83,200,0.05,2026-01-01,2026-12-31
249,83,500,0.08,2026-01-01,2026-12-31
250,84,50,0.02,2026-01-01,2026-12-31
251,84,200,0.05,2026-01-01,2026-12-31
252,84,500,0.08,2026-01-01,2026-12-31
253,85,50,0.02,2026-01-01,2026-12-31
254,85,200,0.05,2026-01-01,2026-12-31
255,85,500,0.08,2026-01-01,2026-12-31
256,86,50,0.02,2026-01-01,2026-12-31
257,86,200,0.05,2026-01-01,2026-12-31
258,86,500,0.08,2026-01-01,2026-12-31
259,87,50,0.02,2026-01-01,2026-12-31
260,87,200,0.05,2026-01-01,2026-12-31
261,87,500,0.08,2026-01-01,2026-12-31
262,88,50,0.02,2026-01-01,2026-12-31
263,88,200,0.05,2026-01-01,2026-12-31
264,88,500,0.08,2026-01-01,2026-12-31
265,89,50,0.02,2026-01-01,2026-12-31
266,89,200,0.05,2026-01-01,2026-12-31
267,89,500,0.08,2026-01-01,2026-12-31
268,90,50,0.02,2026-01-01,2026-12-31
269,90,200,0.05,2026-01-01,2026-12-31
270,90,500,0.08,2026-01-01,2026-12-31
271,91,50,0.02,2026-01-01,2026-12-31
272,91,200,0.05,2026-01-01,2026-12-31
273,91,500,0.08,2026-01-01,2026-12-31
274,92,50,0.02,2026-01-01,2026-12-31
275,92,200,0.05,2026-01-01,2026-12-31
276,92,500,0.08,2026-01-01,2026-12-31
277,93,50,0.02,2026-01-01,2026-12-31
278,93,200,0.05,2026-01-01,2026-12-31
279,93,500,0.08,2026-01-01,2026-12-31
280,94,50,0.02,2026-01-01,2026-12-31
281,94,200,0.05,2026-01-01,2026-12-31
282,94,500,0.08,2026-01-01,2026-12-31
283,95,50,0.02,2026-01-01,2026-12-31
284,95,200,0.05,2026-01-01,2026-12-31
285,95,500,0.08,2026-01-01,2026-12-31
286,96,50,0.02,2026-01-01,2026-12-31
287,96,200,0.05,2026-01-01,2026-12-31
288,96,500,0.08,2026-01-01,2026-12-31
289,97,50,0.02,2026-01-01,2026-12-31
290,97,200,0.05,2026-01-01,2026-12-31
291,97,500,0.08,2026-01-01,2026-12-31
292,98,50,0.02,2026-01-01,2026-12-31
293,98,200,0.05,2026-01-01,2026-12-31
294,98,500,0.08,2026-01-01,2026-12-31
295,99,50,0.02,2026-01-01,2026-12-31
296,99,200,0.05,2026-01-01,2026-12-31
297,99,500,0.08,2026-01-01,2026-12-31
298,100,50,0.02,2026-01-01,2026-12-31
299,100,200,0.05,2026-01-01,2026-12-31
300,100,500,0.08,2026-01-01,2026-12-31
301,101,50,0.02,2026-01-01,2026-12-31
302,101,200,0.05,2026-01-01,2026-12-31
303,101,500,0.08,2026-01-01,2026-12-31
304,102,50,0.02,2026-01-01,2026-12-31
305,102,200,0.05,2026-01-01,2026-12-31
306,102,500,0.08,2026-01-01,2026-12-31
307,103,50,0.02,2026-01-01,2026-12-31
308,103,200,0.05,2026-01-01,2026-12-31
309,103,500,0.08,2026-01-01,2026-12-31
310,104,50,0.02,2026-01-01,2026-12-31
311,104,200,0.05,2026-01-01,2026-12-31
312,104,500,0.08,2026-01-01,2026-12-31
313,105,50,0.02,2026-01-01,2026-12-31
314,105,200,0.05,2026-01-01,2026-12-31
315,105,500,0.08,2026-01-01,2026-12-31
316,106,50,0.02,2026-01-01,2026-12-31
317,106,200,0.05,2026-01-01,2026-12-31
318,106,500,0.08,2026-01-01,2026-12-31
319,107,50,0.02,2026-01-01,2026-12-31
320,107,200,0.05,2026-01-01,2026-12-31
321,107,500,0.08,2026-01-01,2026-12-31
322,108,50,0.02,2026-01-01,2026-12-31
323,108,200,0.05,2026-01-01,2026-12-31
324,108,500,0.08,2026-01-01,2026-12-31
325,109,50,0.02,2026-01-01,2026-12-31
326,109,200,0.05,2026-01-01,2026-12-31
327,109,500,0.08,2026-01-01,2026-12-31
328,110,50,0.02,2026-01-01,2026-12-31
329,110,200,0.05,2026-01-01,2026-12-31
330,110,500,0.08,2026-01-01,2026-12-31
331,111,50,0.02,2026-01-01,2026-12-31
332,111,200,0.05,2026-01-01,2026-12-31
333,111,500,0.08,2026-01-01,2026-12-31
334,112,50,0.02,2026-01-01,2026-12-31
335,112,200,0.05,2026-01-01,2026-12-31
336,112,500,0.08,2026-01-01,2026-12-31
337,113,50,0.02,2026-01-01,2026-12-31
338,113,200,0.05,2026-01-01,2026-12-31
339,113,500,0.08,2026-01-01,2026-12-31
340,114,50,0.02,2026-01-01,2026-12-31
341,114,200,0.05,2026-01-01,2026-12-31
342,114,500,0.08,2026-01-01,2026-12-31
343,115,50,0.02,2026-01-01,2026-12-31
344,115,200,0.05,2026-01-01,2026-12-31
345,115,500,0.08,2026-01-01,2026-12-31
346,116,50,0.02,2026-01-01,2026-12-31
347,116,200,0.05,2026-01-01,2026-12-31
348,116,500,0.08,2026-01-01,2026-12-31
349,117,50,0.02,2026-01-01,2026-12-31
350,117,200,0.05,2026-01-01,2026-12-31
351,117,500,0.08,2026-01-01,2026-12-31
352,118,50,0.02,2026-01-01,2026-12-31
353,118,200,0.05,2026-01-01,2026-12-31
354,118,500,0.08,2026-01-01,2026-12-31
355,119,50,0.02,2026-01-01,2026-12-31
356,119,200,0.05,2026-01-01,2026-12-31
357,119,500,0.08,2026-01-01,2026-12-31
358,120,50,0.02,2026-01-01,2026-12-31
359,120,200,0.05,2026-01-01,2026-12-31
360,120,500,0.08,2026-01-01,2026-12-31
361,121,50,0.02,2026-01-01,2026-12-31
362,121,200,0.05,2026-01-01,2026-12-31
363,121,500,0.08,2026-01-01,2026-12-31
364,122,50,0.02,2026-01-01,2026-12-31
365,122,200,0.05,2026-01-01,2026-12-31
366,122,500,0.08,2026-01-01,2026-12-31
367,123,50,0.02,2026-01-01,2026-12-31
