supplier_score_id,supplier_id,month,price_score,delivery_score,quality_score,response_score,stability_score,total_score,supplier_grade
1,1,2024-08-01,80.1,91.44,88.77,87.59,81.44,86.55,B
2,1,2024-09-01,76.77,86.62,88.27,69.25,82.92,82.46,B
3,1,2024-10-01,80.77,95.79,85.16,86.36,86.64,87.52,B
4,1,2024-11-01,69.81,93.86,85.79,82.14,75.13,82.79,B
5,1,2024-12-01,70.72,91.98,89.5,76.22,81.77,83.45,B
6,1,2025-01-01,78.24,95.47,91.61,92.01,79.97,88.3,B
7,1,2025-02-01,70.14,85.78,88.34,71.58,88.06,81.32,B
8,1,2025-03-01,80.97,85.08,86.37,88.44,89.26,85.13,B
9,1,2025-04-01,74.48,91.31,89.13,97.01,82.44,86.24,B
10,1,2025-05-01,77.6,92.03,87.94,83.22,76.92,85.01,B
11,1,2025-06-01,79.19,96.37,87.33,89.1,77.74,87.23,B
12,1,2025-07-01,75.66,85.74,86.95,90.8,97.6,85.21,B
13,1,2025-08-01,77.83,86.75,91.98,78.54,84.27,84.76,B
14,1,2025-09-01,69.41,97.17,88.1,79.03,93.86,85.82,B
15,1,2025-10-01,77.99,95.85,91.89,95.41,94.74,90.24,A
16,1,2025-11-01,80.98,89.34,92.59,70.6,90.32,86.29,B
17,1,2025-12-01,71.17,92.03,89.59,80.24,76.93,83.52,B
18,1,2026-01-01,69.92,90.76,85.31,78.92,90.22,82.95,B
19,1,2026-02-01,74.12,94.37,86.78,95.68,75.67,85.67,B
20,1,2026-03-01,75.18,94.79,85.83,70.62,80.95,83.85,B
21,1,2026-04-01,80.97,94.24,86.3,95.27,90.84,88.7,B
22,1,2026-05-01,69.57,85.59,87.96,78.3,94.52,82.34,B
23,1,2026-06-01,69.93,94.9,87.19,82.55,92.68,85.27,B
24,1,2026-07-01,76.01,90.58,87.1,94.47,97.32,87.13,B
25,1,2026-08-01,76.45,85.52,92.41,76.05,91.83,84.66,B
26,2,2024-08-01,67.21,73.5,83.06,66.17,93.39,75.57,C
27,2,2024-09-01,70.37,77.66,87.79,95.95,80.95,80.53,B
28,2,2024-10-01,76.64,78.33,82.13,91.94,72.01,79.59,C
29,2,2024-11-01,74.19,82.13,86.09,80.78,73.57,80.14,B
30,2,2024-12-01,74.02,83.37,84.67,78.77,95.42,82.1,B
31,2,2025-01-01,74.72,75.65,86.04,85.03,71.01,78.49,C
32,2,2025-02-01,76.34,81.11,84.73,68.33,74.94,78.93,C
33,2,2025-03-01,73.01,79.12,86.24,74.37,74.18,78.4,C
34,2,2025-04-01,69.13,79.53,89.25,65.69,89.63,78.99,C
35,2,2025-05-01,74.16,74.05,84.49,95.57,88.64,80.3,B
36,2,2025-06-01,69.61,74.03,82.89,72.45,86.79,76.26,C
37,2,2025-07-01,77.71,76.33,84.35,77.29,96.87,80.83,B
38,2,2025-08-01,66.83,77.82,89.46,78.75,80.38,78.33,C
39,2,2025-09-01,66.79,79.15,85.58,92.29,81.98,79.26,C
40,2,2025-10-01,77.55,73.82,85.77,87.79,72.6,79.02,C
41,2,2025-11-01,72.34,73.52,85.96,68.73,82.8,76.79,C
42,2,2025-12-01,75.59,80.47,84.58,73.01,70.71,78.56,C
43,2,2026-01-01,68.97,85.25,88.89,88.8,96.36,83.56,B
44,2,2026-02-01,67.51,82.05,89.17,95.19,81.97,81.5,B
45,2,2026-03-01,68.58,83.72,86.71,72.08,75.46,78.69,C
46,2,2026-04-01,72.71,74.42,82.41,87.28,88.9,78.73,C
47,2,2026-05-01,71.14,74.71,87.65,69.8,84.8,77.57,C
48,2,2026-06-01,69.93,84.79,85.69,74.14,84.39,80.19,B
49,2,2026-07-01,73.89,80.08,86.58,76.98,75.04,79.34,C
50,2,2026-08-01,67.4,78.16,82.92,68.4,77.37,75.61,C
51,3,2024-08-01,86.47,77.12,85.91,95.42,80.87,83.86,B
52,3,2024-09-01,78.25,73.61,89.48,80.61,83.35,80.41,B
53,3,2024-10-01,83.9,76.63,91.15,69.85,93.92,83.13,B
54,3,2024-11-01,85.64,78.82,84.4,89.76,74.56,82.59,B
55,3,2024-12-01,87.44,81.36,86.59,81.36,82.63,84.31,B
56,3,2025-01-01,79.35,81.55,88.12,96.11,74.35,83.38,B
57,3,2025-02-01,78.49,77.77,88.04,70.43,90.16,81.02,B
58,3,2025-03-01,81.58,80.05,87.5,94.84,79.79,83.75,B
59,3,2025-04-01,78.72,81.32,86.79,73.42,93.31,82.45,B
60,3,2025-05-01,88.01,83.97,85.82,65.62,87.48,83.96,B
61,3,2025-06-01,79.26,84.25,91.46,87.24,70.68,83.75,B
62,3,2025-07-01,89.05,77.09,91.29,89.44,74.07,84.57,B
63,3,2025-08-01,88.24,79.95,85.3,70.25,85.12,82.91,B
64,3,2025-09-01,80.18,83.46,89.9,73.79,87.42,83.68,B
65,3,2025-10-01,77.94,79.94,85.87,89.69,71.82,81.08,B
66,3,2025-11-01,87.31,79.68,85.64,87.61,92.12,85.11,B
67,3,2025-12-01,85.49,75.9,85.8,73.52,85.23,81.47,B
68,3,2026-01-01,83.81,78.72,91.06,90.9,96.62,86.09,B
69,3,2026-02-01,88.28,73.56,91.13,75.09,95.42,83.97,B
70,3,2026-03-01,80.62,84.06,84.46,80.39,92.32,83.76,B
71,3,2026-04-01,88.75,73.96,84.82,82.49,88.37,82.67,B
72,3,2026-05-01,88.94,83.09,86.68,93.67,77.5,85.95,B
73,3,2026-06-01,84.21,74.07,88.54,81.46,87.39,82.29,B
74,3,2026-07-01,82.06,79.71,86.25,69.16,74.32,80.34,B
75,3,2026-08-01,80.2,77.49,85.94,90.38,76.16,81.44,B
76,4,2024-08-01,74.36,71.48,94.4,85.65,83.32,80.53,B
77,4,2024-09-01,76.04,76.95,89.42,68.5,92.43,80.54,B
78,4,2024-10-01,82.45,72.07,91.91,66.95,96.29,81.54,B
79,4,2024-11-01,80.38,67.66,88.05,79.74,92.98,79.68,C
80,4,2024-12-01,76.33,66.45,88.78,71.89,86.33,77.03,C
81,4,2025-01-01,83.29,68.1,93.73,65.45,88.98,80.13,B
82,4,2025-02-01,83.94,73.81,91.24,89.96,83.87,83.32,B
83,4,2025-03-01,73.47,65.67,90.43,77.66,81.82,76.62,C
84,4,2025-04-01,80.13,75.86,90.73,96.79,84.14,83.56,B
85,4,2025-05-01,76.88,74.84,87.58,93.27,84.92,81.39,B
86,4,2025-06-01,80.18,74.34,90.59,91.27,92.03,83.33,B
87,4,2025-07-01,76.62,72.47,92.08,93.31,95.97,82.85,B
