task_id,risk_event_id,task_code,task_title,owner_employee_id,due_date,status,priority
1,1,任务-000001,处理销售-20260718-01风险,24,2026-08-06,待处理,高
2,2,任务-000002,处理销售-20260718-01风险,24,2026-08-06,待处理,高
3,3,任务-000003,处理销售-20260718-01风险,32,2026-08-06,待处理,高
4,4,任务-000004,处理销售-001980风险,32,2026-08-06,待处理,中
5,5,任务-000005,处理销售-001914风险,24,2026-08-06,待处理,高
6,6,任务-000006,处理销售-001892风险,24,2026-08-06,待处理,高
7,7,任务-000007,处理销售-001719风险,24,2026-08-06,待处理,高
8,8,任务-000008,处理销售-001821风险,24,2026-08-06,待处理,高
9,9,任务-000009,处理销售-001860风险,24,2026-08-06,待处理,中
10,10,任务-000010,处理销售-001920风险,24,2026-08-06,待处理,高
11,11,任务-000011,处理销售-001834风险,32,2026-08-06,待处理,中
12,12,任务-000012,处理销售-001924风险,24,2026-08-06,待处理,中
13,13,任务-000013,处理销售-001890风险,32,2026-08-06,待处理,中
14,14,任务-000014,处理销售-001839风险,24,2026-08-06,待处理,中
15,15,任务-000015,处理销售-001794风险,32,2026-08-06,待处理,中
16,16,任务-000016,处理销售-001792风险,24,2026-08-06,待处理,高
17,17,任务-000017,处理销售-001831风险,24,2026-08-06,待处理,高
18,18,任务-000018,处理销售-001887风险,24,2026-08-06,待处理,中
19,19,任务-000019,处理销售-001937风险,24,2026-08-06,待处理,中
20,20,任务-000020,处理销售-001963风险,32,2026-08-06,待处理,中
21,21,任务-000021,处理销售-001811风险,24,2026-08-06,待处理,中
22,22,任务-000022,处理销售-001904风险,24,2026-08-06,待处理,高
23,23,任务-000023,处理销售-001850风险,32,2026-08-06,待处理,中
24,24,任务-000024,处理销售-001859风险,24,2026-08-06,待处理,中
25,25,任务-000025,处理销售-001744风险,24,2026-08-06,待处理,中
26,26,任务-000026,处理销售-001982风险,24,2026-08-06,待处理,高
27,27,任务-000027,处理销售-001856风险,32,2026-08-06,待处理,中
